,Parent,ProvidesBoundaries,ConnectedTo,Wrapping at Ends,Tag,HasOpenings,Phase Created,Base Constraint,AccessibilityPerformance,Top Extension Distance,Top is Attached,ContainedInStructure,ObjectPlacement,Representation,Reference,Wrapping at Inserts,ObjectType,Size,HasAssociations,IsDefinedBy,Manufacturer,Top Offset,GlobalId,OwnerHistory,Name,Description,InstallationDate,ODAUniqueID,WarrantyGuarantorLabor,Related to Mass,WarrantyDescription,LoadBearing,ExtendToStructure,ModelLabel,IsExternal,ProductionYear,Base Offset,Location Line,Base is Attached,Base Extension Distance,Finish,Top Constraint,Room Bounding,Unconnected Height,Area,SerialNumber,WarrantyStartDate,BarCode,AssetIdentifier,Features,TagNumber,Structural Usage,Length,Volume,Width,Function,Coarse Scale Fill Color,WarrantyDurationParts,CodePerformance,Color,Constituents,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,Shape,SustainabilityPerformance,WarrantyDurationLabor,AssetAccountingType,WarrantyGuarantorParts,ExpectedLife,ReplacementCost,Classification Description,Classification Code,ConnectedFrom,Rebar Cover - Other Faces,Rebar Cover - Exterior Face,Rebar Cover - Interior Face,Enable Analytical Model,Coarse Scale Fill Pattern,PredefinedType,Level,Height Offset From Level,Structural,Perimeter,Vertical Projection,Thickness,Default Thickness,Decomposes,OverallWidth,OverallHeight,Window Inset,FillsVoids,ConfigurationType,Height,Frame Exterior Material,Frame Interior Material,Sash,Type Mark,FireRating,Sill Height,Head Height,Mark,Glass Pane Material,Default Sill Height,ConstructionType,Wall Closure,Construction Type,OmniClass Number,OmniClass Title,GlazingAreaFraction,OperationType,Trim Exterior Material,Trim Interior Material,Sash Material,Moves With Nearby Elements,Frame Material,Trim Projection Ext,Trim Width,Door Material,Fire Rating,Trim Projection Int,IsFireExit,Stile Width - Latch,Rail Width - Top,Rail Width - Base,Stile Width - Hinge,TreadLength,NumberOfRiser,RiserHeight,NumberOfTreads,NosingLength,TreadLengthAtInnerSide,TreadLengthAtOffset,WalkingLineOffset,WaistThickness,Railing Height,Use Landing Height Adjustment,Rail Connections,Baluster Offset,Angled Joins,Landing Height Adjustment,Tangent Joins,TotalThickness,Start Extension,End Extension,End Fx,End Fy,End Fz,W,Start Release,Span,End Extension Calculation,Slope,End Release,Start Extension Calculation,Analyze As,Beam Material,Stick Symbol Location,Cut Length,Start Fx,Start Fy,Start Fz,Start Mx,Start My,Start Mz,End Mx,End My,End Mz,Rigid Links,Horizontal Projection,Reference Level,Work Plane,Start Level Offset,End Level Offset,z-Direction Justification,z-Direction Offset Value,Lateral Justification,Orientation,Cross-Section Rotation,A,bf,d,kr,k,tw,tf,Seat Material,Host,Top Material,Handle Material,Plinth Depth,Offset,Depth,Plinth Height,Sink Opening Depth,Sink Opening Width,Sink Location,Sink Location To Wall,Counter Thickness,Backsplash Visibility,Top Of Cabinet,Elevation,Panel Material,Mattress Material,Leg Material,InteriorOrExteriorSpace,OccupancyZoneName,LongName,ElevationWithFlooring,BoundedBy,CeilingCovering,Upper Limit,CompositionType,Number,OmniClass Table 13 Category,Category Description,GSA BIM Area,WallCovering,FloorCovering,Phase,Limit Offset,Unbounded Height,LoadCapacity,Category Code,CirculationZoneName,FireAlarmZoneName,LightingZoneName,HistoricPreservationZoneName,VentilationZoneName,RoomTag,Do Not Break At Inserts,Rebar Cover - Bottom Face,Foundation Thickness,Elevation at Bottom,Eccentricity,Rebar Cover - Top Face,Default End Extension Length
38195,Level 2,,38969,0,217579,,New Construction,Level 2,,0.000000,F,38309,38182,38194,Basic Wall:Interior - Furring (38 mm Stud),0,Basic Wall:Interior - Furring (38 mm Stud):128404,,38445,"38198,38215,38217,38219,38221,38223,38546,38547,38548,38549",,0.000000,3Y4YRln2r91vflHcHE5ITn,33,Basic Wall:Interior - Furring (38 mm Stud):217579,,InstallationDate,38195,,F,,F,F,,F,,2.612000,3,F,0.000000,,Up to level: Roof,T,0.288000,0.311933,SerialNumber,WarrantyStartDate,BarCode,AssetIdentifier,,TagNumber,0,1.083100,0.016844,0.054000,0,0,,,,,,,,,,,,,,,,,,Metal-Framed Gypsum Board Fixed Partitions,23-25 40 11 11 11,38968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38240,Level 2,,,0,217580,,New Construction,Level 2,,0.000000,F,38309,38227,38239,Basic Wall:Interior - Furring (38 mm Stud),0,Basic Wall:Interior - Furring (38 mm Stud):128404,,38446,"38243,38260,38262,38264,38266,38268,38546,38547,38548,38549",,0.000000,3Y4YRln2r91vflHcHE5ITs,33,Basic Wall:Interior - Furring (38 mm Stud):217580,,InstallationDate,38240,,F,,F,F,,F,,2.612000,3,F,0.000000,,Up to level: Roof,T,0.288000,0.326909,SerialNumber,WarrantyStartDate,BarCode,AssetIdentifier,,TagNumber,0,1.135100,0.017653,0.054000,0,0,,,,,,,,,,,,,,,,,,Metal-Framed Gypsum Board Fixed Partitions,23-25 40 11 11 11,"38969,38987",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4643,T/FDN,,"38970,38992",0,140479,,New Construction,T/FDN,AccessibilityPerformance,0.000000,F,38319,4630,4642,Basic Wall:Foundation - Concrete (417mm),0,Basic Wall:Foundation - Concrete (417mm):128676,Size,38368,"4647,4702,4704,4706,4708,4710,4712,38554,38555,38556,38557",Manufacturer,0.000000,2O2Fr$t4X7Zf8NOew3FK80,33,Basic Wall:Foundation - Concrete (417mm):140479,,InstallationDate,4643,WarrantyGuarantorLabor,F,WarrantyDescription,T,F,ModelLabel,T,ProductionYear,0.000000,3,F,0.000000,Finish,Up to level: Level 1,T,1.250000,11.000000,SerialNumber,WarrantyStartDate,BarCode,AssetIdentifier,Features,TagNumber,1,8.383000,4.587000,0.417000,2,0,WarrantyDurationParts,CodePerformance,Color,Constituents,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,Shape,SustainabilityPerformance,WarrantyDurationLabor,FIXED,WarrantyGuarantorParts,ExpectedLife,ReplacementCost,Concrete Structural Walls,23-25 30 24 11,,Rebar Cover 1 <0.025>,Rebar Cover 1 <0.025>,Rebar Cover 1 <0.025>,T,Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4818,T/FDN,,"38938,38971",0,140520,,New Construction,T/FDN,AccessibilityPerformance,0.000000,F,38319,4805,4817,Basic Wall:Foundation - Concrete (417mm),0,Basic Wall:Foundation - Concrete (417mm):128676,Size,38369,"4821,4841,4843,4845,4847,4849,4851,38554,38555,38556,38557",Manufacturer,0.000000,2O2Fr$t4X7Zf8NOew3FK9N,33,Basic Wall:Foundation - Concrete (417mm):140520,,InstallationDate,4818,WarrantyGuarantorLabor,F,WarrantyDescription,T,F,ModelLabel,T,ProductionYear,0.000000,3,F,0.000000,Finish,Up to level: Level 1,T,1.250000,21.728750,SerialNumber,WarrantyStartDate,BarCode,AssetIdentifier,Features,TagNumber,1,17.383000,9.060889,0.417000,2,0,WarrantyDurationParts,CodePerformance,Color,Constituents,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,Shape,SustainabilityPerformance,WarrantyDurationLabor,FIXED,WarrantyGuarantorParts,ExpectedLife,ReplacementCost,Concrete Structural Walls,23-25 30 24 11,38970,Rebar Cover 1 <0.025>,Rebar Cover 1 <0.025>,Rebar Cover 1 <0.025>,T,Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4868,T/FDN,,38972,0,140554,,New Construction,T/FDN,AccessibilityPerformance,0.000000,F,38319,4855,4867,Basic Wall:Foundation - Concrete (417mm),0,Basic Wall:Foundation - Concrete (417mm):128676,Size,38370,"4871,4891,4893,4895,4897,4899,4901,38554,38555,38556,38557",Manufacturer,0.000000,2O2Fr$t4X7Zf8NOew3FKEr,33,Basic Wall:Foundation - Concrete (417mm):140554,,InstallationDate,4868,WarrantyGuarantorLabor,F,WarrantyDescription,T,F,ModelLabel,T,ProductionYear,0.000000,3,F,0.000000,Finish,Up to level: Level 1,T,1.250000,10.478750,SerialNumber,WarrantyStartDate,BarCode,AssetIdentifier,Features,TagNumber,1,8.383000,4.369639,0.417000,2,0,WarrantyDurationParts,CodePerformance,Color,Constituents,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,Shape,SustainabilityPerformance,WarrantyDurationLabor,FIXED,WarrantyGuarantorParts,ExpectedLife,ReplacementCost,Concrete Structural Walls,23-25 30 24 11,38971,Rebar Cover 1 <0.025>,Rebar Cover 1 <0.025>,Rebar Cover 1 <0.025>,T,Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4918,T/FDN,,38939,0,140602,,New Construction,T/FDN,AccessibilityPerformance,0.000000,F,38319,4905,4917,Basic Wall:Foundation - Concrete (417mm),0,Basic Wall:Foundation - Concrete (417mm):128676,Size,38371,"4921,4941,4943,4945,4947,4949,4951,38554,38555,38556,38557",Manufacturer,0.000000,2O2Fr$t4X7Zf8NOew3FKE5,33,Basic Wall:Foundation - Concrete (417mm):140602,,InstallationDate,4918,WarrantyGuarantorLabor,F,WarrantyDescription,T,F,ModelLabel,T,ProductionYear,0.000000,3,F,0.000000,Finish,Up to level: Level 1,T,1.250000,21.207500,SerialNumber,WarrantyStartDate,BarCode,AssetIdentifier,Features,TagNumber,1,17.383000,8.843527,0.417000,2,0,WarrantyDurationParts,CodePerformance,Color,Constituents,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,Shape,SustainabilityPerformance,WarrantyDurationLabor,FIXED,WarrantyGuarantorParts,ExpectedLife,ReplacementCost,Concrete Structural Walls,23-25 30 24 11,"38972,38992",Rebar Cover 1 <0.025>,Rebar Cover 1 <0.025>,Rebar Cover 1 <0.025>,T,Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4968,T/FDN,,39001,0,140913,,New Construction,T/FDN,AccessibilityPerformance,0.000000,F,38319,4955,4967,Basic Wall:Foundation - Concrete (435mm),0,Basic Wall:Foundation - Concrete (435mm):207146,Size,38372,"4971,5024,5026,5028,5030,5032,5034,38673,38674,38675,38676",Manufacturer,0.000000,2O2Fr$t4X7Zf8NOew3FK3E,33,Basic Wall:Foundation - Concrete (435mm):140913,,InstallationDate,4968,WarrantyGuarantorLabor,F,WarrantyDescription,T,F,ModelLabel,T,ProductionYear,0.000000,0,F,0.000000,Finish,Up to level: Level 1,T,1.250000,5.250625,SerialNumber,WarrantyStartDate,BarCode,AssetIdentifier,Features,TagNumber,1,4.191500,2.284022,0.435000,2,0,WarrantyDurationParts,CodePerformance,Color,Constituents,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,Shape,SustainabilityPerformance,WarrantyDurationLabor,FIXED,WarrantyGuarantorParts,ExpectedLife,ReplacementCost,Concrete Structural Walls,23-25 30 24 11,38938,Rebar Cover 1 <0.025>,Rebar Cover 1 <0.025>,Rebar Cover 1 <0.025>,T,Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5057,T/FDN,,38973,0,140987,,New Construction,T/FDN,AccessibilityPerformance,0.000000,F,38319,5044,5056,Basic Wall:Foundation - Concrete (435mm),0,Basic Wall:Foundation - Concrete (435mm):207146,Size,38373,"5060,5079,5081,5083,5085,5087,5089,38673,38674,38675,38676",Manufacturer,0.000000,2O2Fr$t4X7Zf8NOew3FK04,33,Basic Wall:Foundation - Concrete (435mm):140987,,InstallationDate,5057,WarrantyGuarantorLabor,F,WarrantyDescription,T,F,ModelLabel,T,ProductionYear,0.000000,0,F,0.000000,Finish,Up to level: Level 1,T,1.250000,5.250625,SerialNumber,WarrantyStartDate,BarCode,AssetIdentifier,Features,TagNumber,1,4.191500,2.284022,0.435000,2,0,WarrantyDurationParts,CodePerformance,Color,Constituents,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,Shape,SustainabilityPerformance,WarrantyDurationLabor,FIXED,WarrantyGuarantorParts,ExpectedLife,ReplacementCost,Concrete Structural Walls,23-25 30 24 11,38939,Rebar Cover 1 <0.025>,Rebar Cover 1 <0.025>,Rebar Cover 1 <0.025>,T,Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5106,T/FDN,,,0,141018,,New Construction,T/FDN,AccessibilityPerformance,0.000000,F,38319,5093,5105,Basic Wall:Foundation - Concrete (435mm),0,Basic Wall:Foundation - Concrete (435mm):207146,Size,38374,"5109,5129,5131,5133,5135,5137,5139,38673,38674,38675,38676",Manufacturer,-0.127000,2O2Fr$t4X7Zf8NOew3FK1b,33,Basic Wall:Foundation - Concrete (435mm):141018,,InstallationDate,5106,WarrantyGuarantorLabor,F,WarrantyDescription,T,F,ModelLabel,T,ProductionYear,0.000000,0,F,0.000000,Finish,Up to level: Level 1,T,1.123000,1.982095,SerialNumber,WarrantyStartDate,BarCode,AssetIdentifier,Features,TagNumber,1,2.200000,0.862211,0.435000,2,0,WarrantyDurationParts,CodePerformance,Color,Constituents,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,Shape,SustainabilityPerformance,WarrantyDurationLabor,FIXED,WarrantyGuarantorParts,ExpectedLife,ReplacementCost,Concrete Structural Walls,23-25 30 24 11,"38973,39001",Rebar Cover 1 <0.025>,Rebar Cover 1 <0.025>,Rebar Cover 1 <0.025>,T,Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22663,Roof,38918,"38963,38981",0,184944,,New Construction,Roof,AccessibilityPerformance,0.000000,F,38330,22650,22662,Basic Wall:Exterior - Brick on Block,0,Basic Wall:Exterior - Brick on Block:130892,Size,38409,"22666,22683,22685,22687,22689,22691,38565,38566,38567,38568",Manufacturer,0.609000,0jf0rYHfX3RAB3bSIRjmmy,33,Basic Wall:Exterior - Brick on Block:184944,,InstallationDate,22663,WarrantyGuarantorLabor,F,WarrantyDescription,F,F,ModelLabel,T,ProductionYear,0.000000,2,F,0.000000,Finish,Up to level: Roof,T,0.609000,5.359200,SerialNumber,WarrantyStartDate,BarCode,AssetIdentifier,Features,TagNumber,0,8.383000,2.234786,0.417000,1,0,WarrantyDurationParts,CodePerformance,Color,Constituents,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,Shape,SustainabilityPerformance,WarrantyDurationLabor,FIXED,WarrantyGuarantorParts,ExpectedLife,ReplacementCost,Masonry Structural Walls,23-25 30 24 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22708,Roof,38921,38982,0,185014,,New Construction,Roof,AccessibilityPerformance,0.000000,F,38330,22695,22707,Basic Wall:Exterior - Brick on Block,0,Basic Wall:Exterior - Brick on Block:130892,Size,38410,"22711,22728,22730,22732,22734,22736,38565,38566,38567,38568",Manufacturer,0.609000,0jf0rYHfX3RAB3bSIRjmpw,33,Basic Wall:Exterior - Brick on Block:185014,,InstallationDate,22708,WarrantyGuarantorLabor,F,WarrantyDescription,F,F,ModelLabel,T,ProductionYear,0.000000,2,F,0.000000,Finish,Up to level: Roof,T,0.609000,10.586247,SerialNumber,WarrantyStartDate,BarCode,AssetIdentifier,Features,TagNumber,0,17.383000,4.414465,0.417000,1,0,WarrantyDurationParts,CodePerformance,Color,Constituents,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,Shape,SustainabilityPerformance,WarrantyDurationLabor,FIXED,WarrantyGuarantorParts,ExpectedLife,ReplacementCost,Masonry Structural Walls,23-25 30 24 14,38981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22753,Roof,38920,38983,0,185064,,New Construction,Roof,AccessibilityPerformance,0.000000,F,38330,22740,22752,Basic Wall:Exterior - Brick on Block,0,Basic Wall:Exterior - Brick on Block:130892,Size,38411,"22756,22773,22775,22777,22779,22781,38565,38566,38567,38568",Manufacturer,0.609000,0jf0rYHfX3RAB3bSIRjmoa,33,Basic Wall:Exterior - Brick on Block:185064,,InstallationDate,22753,WarrantyGuarantorLabor,F,WarrantyDescription,F,F,ModelLabel,T,ProductionYear,0.000000,2,F,0.000000,Finish,Up to level: Roof,T,0.609000,5.105247,SerialNumber,WarrantyStartDate,BarCode,AssetIdentifier,Features,TagNumber,0,8.383000,2.128888,0.417000,1,0,WarrantyDurationParts,CodePerformance,Color,Constituents,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,Shape,SustainabilityPerformance,WarrantyDurationLabor,FIXED,WarrantyGuarantorParts,ExpectedLife,ReplacementCost,Masonry Structural Walls,23-25 30 24 14,38982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22798,Roof,38919,,0,185101,,New Construction,Roof,AccessibilityPerformance,0.000000,F,38330,22785,22797,Basic Wall:Exterior - Brick on Block,0,Basic Wall:Exterior - Brick on Block:130892,Size,38412,"22801,22818,22820,22822,22824,22826,38565,38566,38567,38568",Manufacturer,0.609000,0jf0rYHfX3RAB3bSIRjmr1,33,Basic Wall:Exterior - Brick on Block:185101,,InstallationDate,22798,WarrantyGuarantorLabor,F,WarrantyDescription,F,F,ModelLabel,T,ProductionYear,0.000000,2,F,0.000000,Finish,Up to level: Roof,T,0.609000,10.332294,SerialNumber,WarrantyStartDate,BarCode,AssetIdentifier,Features,TagNumber,0,17.383000,4.308567,0.417000,1,0,WarrantyDurationParts,CodePerformance,Color,Constituents,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,Shape,SustainabilityPerformance,WarrantyDurationLabor,FIXED,WarrantyGuarantorParts,ExpectedLife,ReplacementCost,Masonry Structural Walls,23-25 30 24 14,"38963,38983",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5165,Level 1,"38788,38797,38807,38808,38817,38818,38819",,,141232,,New Construction,,AccessibilityPerformance,,,38298,5145,5164,Floor:127mm Slab on Grade,,Floor:127mm Slab on Grade,Size,38375,"5168,5218,5220,5222,5224,5226,5228,5230,38518,38519,38520,38521",Manufacturer,,2O2Fr$t4X7Zf8NOew3FK4F,33,Floor:127mm Slab on Grade:141232,,InstallationDate,5165,WarrantyGuarantorLabor,F,WarrantyDescription,T,,ModelLabel,F,ProductionYear,,,,,Finish,,T,,64.779928,SerialNumber,WarrantyStartDate,BarCode,AssetIdentifier,Features,TagNumber,3,,8.227051,,0,0,WarrantyDurationParts,CodePerformance,Color,Constituents,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,Shape,SustainabilityPerformance,WarrantyDurationLabor,FIXED,WarrantyGuarantorParts,ExpectedLife,ReplacementCost,Structural Floor Decks,23-25 30 27 11,,,,,,,FLOOR,Level 1,0.000000,F,34.548000,Default,0.127000,0.127000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5267,Level 1,"38685,38694,38702,38703,38712,38713,38714",,,143106,,New Construction,,AccessibilityPerformance,,,38298,5250,5266,Floor:127mm Slab on Grade,,Floor:127mm Slab on Grade,Size,38376,"5270,5286,5288,5290,5292,5294,5296,5298,38518,38519,38520,38521",Manufacturer,,2O2Fr$t4X7Zf8NOew3FKcz,33,Floor:127mm Slab on Grade:143106,,InstallationDate,5267,WarrantyGuarantorLabor,F,WarrantyDescription,T,,ModelLabel,F,ProductionYear,,,,,Finish,,T,,64.906428,SerialNumber,WarrantyStartDate,BarCode,AssetIdentifier,Features,TagNumber,3,,8.243116,,0,0,WarrantyDurationParts,CodePerformance,Color,Constituents,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,Shape,SustainabilityPerformance,WarrantyDurationLabor,FIXED,WarrantyGuarantorParts,ExpectedLife,ReplacementCost,Structural Floor Decks,23-25 30 27 11,,,,,,,FLOOR,Level 1,0.000000,F,34.548000,Default,0.127000,0.127000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21401,Level 1,"38686,38715,38908",,,170352,,New Construction,,AccessibilityPerformance,,,38298,21374,21400,Floor:Finish Floor - Wood,,Floor:Finish Floor - Wood,Size,38402,"21404,21421,21423,21425,21427,21429,21431,21433,38526,38527,38528,38529",Manufacturer,,2OBrcmyk58NupXoVOHUtxr,33,Floor:Finish Floor - Wood:170352,,InstallationDate,21401,WarrantyGuarantorLabor,F,WarrantyDescription,T,,ModelLabel,F,ProductionYear,,,,,Finish,,T,,47.149919,SerialNumber,WarrantyStartDate,BarCode,AssetIdentifier,Features,TagNumber,3,,0.895848,,0,0,WarrantyDurationParts,CodePerformance,Color,Constituents,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,Shape,SustainabilityPerformance,WarrantyDurationLabor,FIXED,WarrantyGuarantorParts,ExpectedLife,ReplacementCost,Wood Flooring,23-35 50 14 11,,,,,,,FLOOR,Level 1,0.019000,F,41.962000,Default,0.019000,0.019000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21449,Level 1,38695,,,170785,,New Construction,,AccessibilityPerformance,,,38298,21439,21448,Floor:Finish Floor - Ceramic Tile,,Floor:Finish Floor - Ceramic Tile,Size,38403,"21452,21469,21471,21473,21475,21477,21479,21481,38522,38523,38524,38525",Manufacturer,,2OBrcmyk58NupXoVOHUtoa,33,Floor:Finish Floor - Ceramic Tile:170785,,InstallationDate,21449,WarrantyGuarantorLabor,F,WarrantyDescription,T,,ModelLabel,F,ProductionYear,,,,,Finish,,T,,12.954070,SerialNumber,WarrantyStartDate,BarCode,AssetIdentifier,Features,TagNumber,3,,0.168403,,0,0,WarrantyDurationParts,CodePerformance,Color,Constituents,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,Shape,SustainabilityPerformance,WarrantyDurationLabor,FIXED,WarrantyGuarantorParts,ExpectedLife,ReplacementCost,Tile Flooring,23-35 50 14 14,,,,,,,FLOOR,Level 1,0.013000,F,16.078000,Default,0.013000,0.013000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21497,Level 1,38704,,,171230,,New Construction,,AccessibilityPerformance,,,38298,21487,21496,Floor:Finish Floor - Ceramic Tile,,Floor:Finish Floor - Ceramic Tile,Size,38404,"21500,21517,21519,21521,21523,21525,21527,21529,38522,38523,38524,38525",Manufacturer,,2OBrcmyk58NupXoVOHUtjR,33,Floor:Finish Floor - Ceramic Tile:171230,,InstallationDate,21497,WarrantyGuarantorLabor,F,WarrantyDescription,T,,ModelLabel,F,ProductionYear,,,,,Finish,,T,,3.160976,SerialNumber,WarrantyStartDate,BarCode,AssetIdentifier,Features,TagNumber,3,,0.041093,,0,0,WarrantyDurationParts,CodePerformance,Color,Constituents,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,Shape,SustainabilityPerformance,WarrantyDurationLabor,FIXED,WarrantyGuarantorParts,ExpectedLife,ReplacementCost,Tile Flooring,23-35 50 14 14,,,,,,,FLOOR,Level 1,0.013000,F,7.254000,Default,0.013000,0.013000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
