,Design Option,Category,Family,Type,Additional Exterior Cover Offset,Additional Interior Cover Offset,Layout Rule,Host Category,Bottom/Interior Major,Bottom/Interior Major (Brief),Bottom/Interior Minor,Bottom/Interior Minor (Brief),Family and Type,Layer Summary,Layer Summary (Brief),"Major, Both Faces","Major, Both Faces (Brief)","Minor, Both Faces","Minor, Both Faces (Brief)",Top/Exterior Major,Top/Exterior Major (Brief),Top/Exterior Minor,Top/Exterior Minor (Brief),Type Id,Bottom Major and Minor Layers Match,Bottom/Interior Major Bar Type,Bottom/Interior Major Direction,Bottom/Interior Major Number Of Lines,Bottom/Interior Major Spacing,Bottom/Interior Minor Bar Type,Bottom/Interior Minor Direction,Bottom/Interior Minor Number Of Lines,Bottom/Interior Minor Spacing,Exterior Major Bar Type,Exterior Major Direction,Exterior Major Hook Orientation,Exterior Major Hook Type,Exterior Major Number Of Lines,Exterior Major Spacing,Exterior Minor Bar Type,Exterior Minor Direction,Exterior Minor Hook Orientation,Exterior Minor Hook Type,Exterior Minor Number Of Lines,Exterior Minor Spacing,Interior Major Bar Type,Interior Major Direction,Interior Major Hook Orientation,Interior Major Hook Type,Interior Major Number Of Lines,Interior Major Spacing,Interior Minor Bar Type,Interior Minor Direction,Interior Minor Hook Orientation,Interior Minor Hook Type,Interior Minor Number Of Lines,Interior Minor Spacing,Top Major and Minor Layers Match,Top and Bottom Major Layers Match,Top and Bottom Minor Layers Match,Top/Exterior Major Bar Type,Top/Exterior Major Direction,Top/Exterior Major Number Of Lines,Top/Exterior Major Spacing,Top/Exterior Minor Bar Type,Top/Exterior Minor Direction,Top/Exterior Minor Number Of Lines,Top/Exterior Minor Spacing,Phase Created,Phase Demolished,Reinforcement Volume,Type Name,Family Name,Additional Bottom Cover Offset,Additional Top Cover Offset,Bottom Major Bar Type,Bottom Major Direction,Bottom Major Hook Orientation,Bottom Major Hook Type,Bottom Major Number Of Lines,Bottom Major Spacing,Bottom Minor Bar Type,Bottom Minor Direction,Bottom Minor Hook Orientation,Bottom Minor Hook Type,Bottom Minor Number Of Lines,Bottom Minor Spacing,Top Major Bar Type,Top Major Direction,Top Major Hook Orientation,Top Major Hook Type,Top Major Number Of Lines,Top Major Spacing,Top Minor Bar Type,Top Minor Direction,Top Minor Hook Orientation,Top Minor Hook Type,Top Minor Number Of Lines,Top Minor Spacing,Host Mark,Bend Diameter,Hook At End,Hook At Start,Hook Rotation At End,Hook Rotation At Start,Rebar Number,Schedule Mark,Shape,Shape Image,Style,A,B,Bar Diameter,Bar Length,C,D,E,F,G,H,J,K,O,R,Total Bar Length,Quantity,Spacing,Deformation,Maximum Bend Radius,Standard Bend Diameter,Standard Hook Bend Diameter,Stirrup/Tie Bend Diameter,Subcategory,Material,End Treatment At End,End Treatment At Start,Geometry,Override Hook Lengths,Stirrup/Tie Attachment,Maximum bar length,Minimum bar length,Distribution Type,Quantity By Rebar Set,Estimated Reinforcement Volume,Base Level,Base Offset,Column Location Mark,Column Style,Level,Moves With Grids,Top Level,Top Offset,Length,Volume,Host Id,Structural Material,Base Connection,Enable Analytical Model,Top Connection,Code Name,Section Name Key,Section Shape,Elastic Modulus strong axis,Elastic Modulus weak axis,Moment of Inertia strong axis,Moment of Inertia weak axis,Nominal Weight,Plastic Modulus strong axis,Plastic Modulus weak axis,Section Area,Torsional Moment of Inertia,Warping Constant,Centroid Horizontal,Centroid Vertical,Flange Thickness,Height,Web Fillet,Web Thickness,Width,Wall Design Thickness,OmniClass Number,OmniClass Title,Torsional Modulus,Inner Fillet,Outer Fillet,Wall Nominal Thickness,Room Bounding,Rebar Cover - Other Faces,Rebar Cover - Top Face,b,Cross-Section Rotation,End Level Offset,Reference Level,Reference Level Elevation,Start Level Offset,Bottom Chord End Extension,Bottom Chord Start Extension,End Offset,Start Offset,Top Chord End Extension,Top Chord Start Extension,Elevation at Bottom,Elevation at Top,End Panel,End Extension,Join Status,Start Extension,y Justification,y Offset Value,yz Justification,z Justification,z Offset Value,Offset Length 1,Offset Length 2,PanelArrayLength,PanelArrayNum,PanelWidth,Cut Length,End Connection,Start Connection,Stick Symbol Location,Structural Usage,Chord Depth,Chord Width,Depth,Web Leg,Web Rendering Material,d,W,t,Assembly Code,Assembly Description,Orientation,Work Plane,Perimeter,Diameter,End Extension Calculation,Start Extension Calculation,h,vpy,vpz,vy,vz,REX.Content.Identity,Ix,Iy,Iz,Eccentricity,Area,Elevation at Bottom Survey,Elevation at Top Survey,Rebar Cover - Bottom Face,Default End Extension Length,Do Not Break At Inserts,Foundation Thickness,Height Offset From Level,Host,Mark,Pile Type,Cut-off,Thickness,Clearance,Desired Stair Height,Actual Number of Risers,Actual Riser Height,Actual Tread Depth,Desired Number of Risers,Tread/Riser Start Number,Maximum Riser Height,Minimum Run Width,Minimum Tread Depth,Construction Method,Function,Landing Type,Run Type,Cut Mark Type,Left Lateral Offset,Left Support,Left Support Type,Middle Support,Middle Support Number,Middle Support Type,Right Lateral Offset,Right Support,Right Support Type,Related to Mass,Core Thickness,Elevation at Bottom Core,Elevation at Top Core,Span Direction,Structural,Absorptance,Heat Transfer Coefficient (U),Roughness,Thermal Mass,Thermal Resistance (R),Default Thickness,Coarse Scale Fill Color,Coarse Scale Fill Pattern,Display in Hidden Views,Moves With Nearby Elements,Offset from Host,Define Thermal Properties by,Cost,Description,Manufacturer,Model,Type Mark,URL,Author,Date Checked,Date Created,Date Eng Approved,Date Mfg Approved,Design Status,Designer,Part Number,Base Constraint,Base Extension Distance,Base is Attached,Location Line,Top Constraint,Top Extension Distance,Top is Attached,Unconnected Height,Rebar Cover - Exterior Face,Rebar Cover - Interior Face,Wrapping at Ends,Wrapping at Inserts,Keynote,Comments
1350852,None,OST_Rebar,Structural Rebar 1,Structural Rebar 1,,,2,1,,,,,Structural Rebar 1,,,,,,,,,,,Structural Rebar 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Construction,None,1402.41 cm³,Structural Rebar 1,Rebar Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,80 mm,None,None,0.00°,0.00°,2,1,Standard - 1,None,0,114 mm,4650 mm,8 mm,4650 mm,0 mm,0 mm,0 mm,0 mm,114 mm,0 mm,76 mm,0 mm,0 mm,0 mm,27900 mm,6,286 mm,0,18000,80 mm,80 mm,50 mm,-2009000,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350853,None,OST_Rebar,Structural Rebar 1,Structural Rebar 1,,,2,1,,,,,Structural Rebar 1,,,,,,,,,,,Structural Rebar 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Construction,None,1230.50 cm³,Structural Rebar 1,Rebar Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,80 mm,None,None,0.00°,0.00°,3,1,Standard - 1,None,0,114 mm,1440 mm,8 mm,1440 mm,0 mm,0 mm,0 mm,0 mm,114 mm,0 mm,76 mm,0 mm,0 mm,0 mm,24480 mm,17,290 mm,0,18000,80 mm,80 mm,50 mm,-2009000,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350854,None,OST_Rebar,Structural Rebar 1,Structural Rebar 1,,,2,1,,,,,Structural Rebar 1,,,,,,,,,,,Structural Rebar 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Construction,None,1402.41 cm³,Structural Rebar 1,Rebar Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,80 mm,None,None,0.00°,0.00°,2,1,Standard - 1,None,0,114 mm,4650 mm,8 mm,4650 mm,0 mm,0 mm,0 mm,0 mm,114 mm,0 mm,76 mm,0 mm,0 mm,0 mm,27900 mm,6,286 mm,0,18000,80 mm,80 mm,50 mm,-2009000,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351013,None,OST_Rebar,Structural Rebar 1,Structural Rebar 1,,,2,1,,,,,Structural Rebar 1,,,,,,,,,,,Structural Rebar 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Construction,None,1239.04 cm³,Structural Rebar 1,Rebar Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,80 mm,None,None,0.00°,0.00°,1,1,Standard - 1,None,0,114 mm,1445 mm,8 mm,1445 mm,0 mm,0 mm,0 mm,0 mm,114 mm,0 mm,76 mm,0 mm,0 mm,0 mm,24650 mm,17,290 mm,0,18000,80 mm,80 mm,50 mm,-2009000,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351014,None,OST_Rebar,Structural Rebar 1,Structural Rebar 1,,,2,1,,,,,Structural Rebar 1,,,,,,,,,,,Structural Rebar 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Construction,None,1402.41 cm³,Structural Rebar 1,Rebar Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,80 mm,None,None,0.00°,0.00°,2,1,Standard - 1,None,0,114 mm,4650 mm,8 mm,4650 mm,0 mm,0 mm,0 mm,0 mm,114 mm,0 mm,76 mm,0 mm,0 mm,0 mm,27900 mm,6,287 mm,0,18000,80 mm,80 mm,50 mm,-2009000,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351015,None,OST_Rebar,Structural Rebar 1,Structural Rebar 1,,,2,1,,,,,Structural Rebar 1,,,,,,,,,,,Structural Rebar 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Construction,None,1239.04 cm³,Structural Rebar 1,Rebar Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,80 mm,None,None,0.00°,0.00°,1,1,Standard - 1,None,0,114 mm,1445 mm,8 mm,1445 mm,0 mm,0 mm,0 mm,0 mm,114 mm,0 mm,76 mm,0 mm,0 mm,0 mm,24650 mm,17,290 mm,0,18000,80 mm,80 mm,50 mm,-2009000,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351016,None,OST_Rebar,Structural Rebar 1,Structural Rebar 1,,,2,1,,,,,Structural Rebar 1,,,,,,,,,,,Structural Rebar 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Construction,None,1402.41 cm³,Structural Rebar 1,Rebar Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,80 mm,None,None,0.00°,0.00°,2,1,Standard - 1,None,0,114 mm,4650 mm,8 mm,4650 mm,0 mm,0 mm,0 mm,0 mm,114 mm,0 mm,76 mm,0 mm,0 mm,0 mm,27900 mm,6,287 mm,0,18000,80 mm,80 mm,50 mm,-2009000,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351233,None,OST_Rebar,Structural Rebar 1,Structural Rebar 1,,,2,1,,,,,Structural Rebar 1,,,,,,,,,,,Structural Rebar 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Construction,None,1230.50 cm³,Structural Rebar 1,Rebar Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,80 mm,None,None,0.00°,0.00°,3,1,Standard - 1,None,0,114 mm,1440 mm,8 mm,1440 mm,0 mm,0 mm,0 mm,0 mm,114 mm,0 mm,76 mm,0 mm,0 mm,0 mm,24480 mm,17,290 mm,0,18000,80 mm,80 mm,50 mm,-2009000,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351234,None,OST_Rebar,Structural Rebar 1,Structural Rebar 1,,,2,1,,,,,Structural Rebar 1,,,,,,,,,,,Structural Rebar 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Construction,None,1402.41 cm³,Structural Rebar 1,Rebar Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,80 mm,None,None,0.00°,0.00°,2,1,Standard - 1,None,0,114 mm,4650 mm,8 mm,4650 mm,0 mm,0 mm,0 mm,0 mm,114 mm,0 mm,76 mm,0 mm,0 mm,0 mm,27900 mm,6,286 mm,0,18000,80 mm,80 mm,50 mm,-2009000,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351235,None,OST_Rebar,Structural Rebar 1,Structural Rebar 1,,,2,1,,,,,Structural Rebar 1,,,,,,,,,,,Structural Rebar 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Construction,None,1230.50 cm³,Structural Rebar 1,Rebar Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,80 mm,None,None,0.00°,0.00°,3,1,Standard - 1,None,0,114 mm,1440 mm,8 mm,1440 mm,0 mm,0 mm,0 mm,0 mm,114 mm,0 mm,76 mm,0 mm,0 mm,0 mm,24480 mm,17,290 mm,0,18000,80 mm,80 mm,50 mm,-2009000,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351236,None,OST_Rebar,Structural Rebar 1,Structural Rebar 1,,,2,1,,,,,Structural Rebar 1,,,,,,,,,,,Structural Rebar 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Construction,None,1402.41 cm³,Structural Rebar 1,Rebar Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,80 mm,None,None,0.00°,0.00°,2,1,Standard - 1,None,0,114 mm,4650 mm,8 mm,4650 mm,0 mm,0 mm,0 mm,0 mm,114 mm,0 mm,76 mm,0 mm,0 mm,0 mm,27900 mm,6,286 mm,0,18000,80 mm,80 mm,50 mm,-2009000,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351252,None,OST_Rebar,Structural Rebar 1,Structural Rebar 1,,,2,1,,,,,Structural Rebar 1,,,,,,,,,,,Structural Rebar 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Construction,None,1230.50 cm³,Structural Rebar 1,Rebar Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,80 mm,None,None,0.00°,0.00°,3,1,Standard - 1,None,0,114 mm,1440 mm,8 mm,1440 mm,0 mm,0 mm,0 mm,0 mm,114 mm,0 mm,76 mm,0 mm,0 mm,0 mm,24480 mm,17,290 mm,0,18000,80 mm,80 mm,50 mm,-2009000,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351253,None,OST_Rebar,Structural Rebar 1,Structural Rebar 1,,,2,1,,,,,Structural Rebar 1,,,,,,,,,,,Structural Rebar 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Construction,None,1402.41 cm³,Structural Rebar 1,Rebar Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,80 mm,None,None,0.00°,0.00°,2,1,Standard - 1,None,0,114 mm,4650 mm,8 mm,4650 mm,0 mm,0 mm,0 mm,0 mm,114 mm,0 mm,76 mm,0 mm,0 mm,0 mm,27900 mm,6,286 mm,0,18000,80 mm,80 mm,50 mm,-2009000,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351254,None,OST_Rebar,Structural Rebar 1,Structural Rebar 1,,,2,1,,,,,Structural Rebar 1,,,,,,,,,,,Structural Rebar 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Construction,None,1230.50 cm³,Structural Rebar 1,Rebar Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,80 mm,None,None,0.00°,0.00°,3,1,Standard - 1,None,0,114 mm,1440 mm,8 mm,1440 mm,0 mm,0 mm,0 mm,0 mm,114 mm,0 mm,76 mm,0 mm,0 mm,0 mm,24480 mm,17,290 mm,0,18000,80 mm,80 mm,50 mm,-2009000,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351255,None,OST_Rebar,Structural Rebar 1,Structural Rebar 1,,,2,1,,,,,Structural Rebar 1,,,,,,,,,,,Structural Rebar 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Construction,None,1402.41 cm³,Structural Rebar 1,Rebar Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,80 mm,None,None,0.00°,0.00°,2,1,Standard - 1,None,0,114 mm,4650 mm,8 mm,4650 mm,0 mm,0 mm,0 mm,0 mm,114 mm,0 mm,76 mm,0 mm,0 mm,0 mm,27900 mm,6,286 mm,0,18000,80 mm,80 mm,50 mm,-2009000,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351273,None,OST_Rebar,Structural Rebar 1,Structural Rebar 1,,,2,1,,,,,Structural Rebar 1,,,,,,,,,,,Structural Rebar 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Construction,None,1230.50 cm³,Structural Rebar 1,Rebar Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,80 mm,None,None,0.00°,0.00°,3,1,Standard - 1,None,0,114 mm,1440 mm,8 mm,1440 mm,0 mm,0 mm,0 mm,0 mm,114 mm,0 mm,76 mm,0 mm,0 mm,0 mm,24480 mm,17,290 mm,0,18000,80 mm,80 mm,50 mm,-2009000,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351274,None,OST_Rebar,Structural Rebar 1,Structural Rebar 1,,,2,1,,,,,Structural Rebar 1,,,,,,,,,,,Structural Rebar 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Construction,None,1402.41 cm³,Structural Rebar 1,Rebar Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,80 mm,None,None,0.00°,0.00°,2,1,Standard - 1,None,0,114 mm,4650 mm,8 mm,4650 mm,0 mm,0 mm,0 mm,0 mm,114 mm,0 mm,76 mm,0 mm,0 mm,0 mm,27900 mm,6,286 mm,0,18000,80 mm,80 mm,50 mm,-2009000,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351275,None,OST_Rebar,Structural Rebar 1,Structural Rebar 1,,,2,1,,,,,Structural Rebar 1,,,,,,,,,,,Structural Rebar 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Construction,None,1230.50 cm³,Structural Rebar 1,Rebar Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,80 mm,None,None,0.00°,0.00°,3,1,Standard - 1,None,0,114 mm,1440 mm,8 mm,1440 mm,0 mm,0 mm,0 mm,0 mm,114 mm,0 mm,76 mm,0 mm,0 mm,0 mm,24480 mm,17,290 mm,0,18000,80 mm,80 mm,50 mm,-2009000,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351276,None,OST_Rebar,Structural Rebar 1,Structural Rebar 1,,,2,1,,,,,Structural Rebar 1,,,,,,,,,,,Structural Rebar 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Construction,None,1402.41 cm³,Structural Rebar 1,Rebar Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,80 mm,None,None,0.00°,0.00°,2,1,Standard - 1,None,0,114 mm,4650 mm,8 mm,4650 mm,0 mm,0 mm,0 mm,0 mm,114 mm,0 mm,76 mm,0 mm,0 mm,0 mm,27900 mm,6,286 mm,0,18000,80 mm,80 mm,50 mm,-2009000,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351295,None,OST_Rebar,Structural Rebar 1,Structural Rebar 1,,,2,1,,,,,Structural Rebar 1,,,,,,,,,,,Structural Rebar 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Construction,None,1230.50 cm³,Structural Rebar 1,Rebar Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,80 mm,None,None,0.00°,0.00°,3,1,Standard - 1,None,0,114 mm,1440 mm,8 mm,1440 mm,0 mm,0 mm,0 mm,0 mm,114 mm,0 mm,76 mm,0 mm,0 mm,0 mm,24480 mm,17,290 mm,0,18000,80 mm,80 mm,50 mm,-2009000,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351296,None,OST_Rebar,Structural Rebar 1,Structural Rebar 1,,,2,1,,,,,Structural Rebar 1,,,,,,,,,,,Structural Rebar 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Construction,None,1402.41 cm³,Structural Rebar 1,Rebar Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,80 mm,None,None,0.00°,0.00°,2,1,Standard - 1,None,0,114 mm,4650 mm,8 mm,4650 mm,0 mm,0 mm,0 mm,0 mm,114 mm,0 mm,76 mm,0 mm,0 mm,0 mm,27900 mm,6,286 mm,0,18000,80 mm,80 mm,50 mm,-2009000,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
