,Parent,FixtureHeight,Tag,Phase Created,AccessibilityPerformance,Face Plate Material Finish,Light Loss Factor,Emit Shape Visible in Rendering,Dimming Lamp Color Temperature Shift,Housing Material Finish,ContainedInStructure,Light Source Definition (family),ObjectPlacement,Number of Lamps or LEDs,Representation,Reference,Initial Intensity,ObjectType,Size,HasAssociations,IsDefinedBy,GlobalId,OwnerHistory,Photometry Comments,Name,Description,BackupSupplySystem,InstallationDate,ODAUniqueID,WarrantyGuarantorLabor,Color Filter,SerialNumber,AssetIdentifier,WarrantyStartDate,Features,TagNumber,Emit from Rectangle Width,Electrical Data,BarCode,Host,Status,Emit from Rectangle Length,LER Luminaire Efficacy Rating,Schedule Level,PictogramEscapeDirection,Calculate Coefficient of Utilization,SensibleLoadToRadiant,Elevation,Lens Material Finish,Apparent Load,Initial Color,Light Source Symbol Size,Depth,Width,Length,Default Elevation,Voltage Comments,Spacing to Mounting Height Ratio Diagonal,Lamp,Voltage,CodePerformance,InsulationStandardClass,Grade,SustainabilityPerformance,HasProtectiveEarth,Constituents,PowerFactor,ModelReference,RatedVoltage,NominalFrequencyRange,NumberOfPoles,NominalLength,RatedCurrent,Color,Material,WarrantyGuarantorParts,AssetAccountingType,WarrantyDurationLabor,OmniClass Title,Finish,ReplacementCost,Assembly Code,WarrantyDurationParts,ExpectedLife,Shape,IP_Code,ConductorFunction,NominalHeight,ModelLabel,WarrantyDescription,ProductionYear,NominalWidth,LightFixturePlacingType,LightFixtureMountingType,NumberOfSources,MaximumSpaceSensibleLoad,MaintenanceFactor,TotalWattage,MaximumPlenumSensibleLoad,Lamp Position,Spacing to Mounting Height Ratio 90 Degree Plane,Spacing to Mounting Height Ratio 0 Degree Plane,CIE Type,Fixture Efficiency,Housing Finish Option,NEMA Type,Lens Option,Number of Faces,Manufacturer,Assembly Description,Product Page URL,URL,OmniClass Number,Specification Sheet,Product Family,Type Mark,Catalog Number,Model,Recessing Radius,Ballast Voltage,Load Classification,Ballast Number of Poles,Panel,Circuit Number,Recessing Diameter,Recessing Height,Lumens,Wattage Comments,Recessing Inner Radius,Switch Voltage,Offset,Mark,Load,IsPluggableOutlet,Shade Material,Radius,Grid Material,Diffuser Material,Light Box Material,Light Casing Length,Drop From Ceiling,Ceiling Mount Material,Light Casing Material,Label,Moves With Nearby Elements,XRAY,Level,DARKROOM,Max #1 Pole Breakers,CompositionType,Distribution System,Total Estimated Demand Current,Mains,Apparent Load Phase A,Total Estimated Demand,Receptacle Demand Factor,Apparent Load Phase B,Total Connected,Apparent Load Phase C,Number of Phases,Receptacle Estimated Demand Current,Number of Wires,Supply From,Total Demand Factor,Receptacle Estimated Demand,Receptacle Connected Current,Total Connected Current,Receptacle Connected,24 Circuit Height,Current Phase A,Current Phase B,Current Phase C,Height,Enclosure,Mounting,Panel Name,12 Circuit Height,30 Circuit Height,42 Circuit Height,IsSkilledOperator,Lighting - Dwelling Unit Demand Factor,Lighting - Dwelling Unit Connected Current,Lighting - Dwelling Unit Estimated Demand,Other Estimated Demand,Lighting - Dwelling Unit Connected,Other Connected Current,Other Estimated Demand Current,Other Connected,Lighting - Dwelling Unit Estimated Demand Current,Cooling Estimated Demand Current,Cooling Demand Factor,Cooling Connected Current,Cooling Connected,Cooling Estimated Demand,Location,Cab Width,Cab Location,Cab Height,Door Opening,Cab Depth,Pit Depth,Chiller Length,Chilled Water Return Radius,Number of Poles,C1 Offset 2,C1 Offset 1,C2 Offset 2,C1 Offset 3,Chilled Water Supply Diameter,Chilled Water Return Diameter,Chilled Water Supply Radius,Length 1,Length 2,Radius 1,Half Number of Fans,Number of Fans,Cold Capacity,Chilled Water Flow,Drain Flow,System Classification,Chilled Water Pressure Drop,System Name,Appliance - Dwelling Unit Estimated Demand Current,Appliance - Dwelling Unit Demand Factor,Appliance - Dwelling Unit Estimated Demand,Appliance - Dwelling Unit Connected Current,Appliance - Dwelling Unit Connected,Primary Voltage,Panel Height,Switchboard Height,Switchboard Width,Switchboard Length,Primary Number of Poles,Height 1,Half Switchboard Length,Panel Length,Suction Nominal Radius,Suction Outside Diameter,Discharge Nominal Radius,Suction Nominal Diameter,Flange Height,Length 4,Length 3,Discharge Nominal Diameter,Housing Width,Outside Diameter 1,Outside Diameter 2,Outside Diameter 4,Suction Outside Radius,Flange Diameter,Radius 2,Radius 3,Flange Radius,Outside Radius 4,Outside Radius 1,Outside Radius 2,RPM,Heating Capacity,External Static Pressure,Return Airflow,Supply Airflow,Cooling Capacity,Poles,Dimension D,Dimension E,Dimension F,Dimension A,Dimension G,Dimension H,Condensate Diameter,Condensate Radius,Cap Diameter,Outlet Width,Fan Diameter,External Static Presure,Fan Height,Fan Radius,Base Width,Cap Radius,Overall Height,Outlet Height,Diameter 1,Diameter 2,Half Outlet Radius,Half Exhaust Inlet Height,Air Flow,InteriorOrExteriorSpace,OccupancyZoneName,LongName,ElevationWithFlooring,CeilingCovering,Upper Limit,Number,Decomposes,OmniClass Table 13 Category,Category Description,GSA BIM Area,WallCovering,FloorCovering,RoomTag,LoadCapacity,HistoricPreservationZoneName,LightingZoneName,VentilationZoneName,FireAlarmZoneName,Computation Height,CirculationZoneName,Category Code,Unbounded Height,Area,Volume,Perimeter,Phase,Base Offset,Limit Offset,Hot Water Diameter,Sanitary Diameter,Sanitary Radius,Vent Radius,Water Heater Radius,Cold Water Diameter,Hot Water Radius,Vent Diameter,Water Heater Height,Cold Water Radius
640,1DC7,0,743442,New Construction,N/A,,0,,0,,103331,Point+HemiSpherical,45439,,53310,REF TYPE MARK,0,B3 - 610x610mm,0,87003,"91244,91245,91246,91247,91248,91249,91250,103543,103544,103545,103546,103547,103548,103549,103550,103551",312$WHH7b36fc6XaYoDlDj,1,,M_Troffer Light - Parabolic Square:B3 - 610x610mm:B3 - 610x610mm:743442,,NO,N/A,640,N/A,16777215,N/A,N/A,N/A,N/A,N/A,, 120 V/1-40 VA,N/A,Linked Revit Model : Clinic_A.rvt,UNSET,,,Level: Level 1,UNSET,F,0,2.680000,,430.556417,0,0.050000,,,,1.200000,,,"U-SHAPED, CRI=75",,N/A,UNSET,N/A,N/A,TRUE,N/A,0,N/A,0,0,0,0,0,UNSET,N/A,N/A,FIXED,N/A,Downlights,UNSET,N/A,,N/A,N/A,N/A,0,L1,0,N/A,N/A,N/A,0,UNSET,UNSET,0,0,0,0,0,,,,,,,,,,N/A,,,,23.80.70.11.14.11,,,B3,,,,1291.669250,Lighting - Dwelling Unit,1,L41B,4,,,3150.000000,32,,,,,,,,,"Metal - Paint Finish - Dark Gray, Matte","Glass - White, High Luminance",Metal - Chrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,1DC7,0,743450,New Construction,N/A,,0,,0,,103331,Point+HemiSpherical,45440,,53311,REF TYPE MARK,0,B3 - 610x610mm,0,87002,"91251,91252,91253,91254,91255,91256,91257,103543,103544,103545,103546,103547,103548,103549,103550,103551",312$WHH7b36fc6XaYoDlDb,1,,M_Troffer Light - Parabolic Square:B3 - 610x610mm:B3 - 610x610mm:743450,,NO,N/A,641,N/A,16777215,N/A,N/A,N/A,N/A,N/A,, 120 V/1-40 VA,N/A,Linked Revit Model : Clinic_A.rvt,UNSET,,,Level: Level 1,UNSET,F,0,2.680000,,430.556417,0,0.050000,,,,1.200000,,,"U-SHAPED, CRI=75",,N/A,UNSET,N/A,N/A,TRUE,N/A,0,N/A,0,0,0,0,0,UNSET,N/A,N/A,FIXED,N/A,Downlights,UNSET,N/A,,N/A,N/A,N/A,0,L1,0,N/A,N/A,N/A,0,UNSET,UNSET,0,0,0,0,0,,,,,,,,,,N/A,,,,23.80.70.11.14.11,,,B3,,,,1291.669250,Lighting - Dwelling Unit,1,L41B,4,,,3150.000000,32,,,,,,,,,"Metal - Paint Finish - Dark Gray, Matte","Glass - White, High Luminance",Metal - Chrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,1DC7,,908898,New Construction,N/A,,,,,,103331,,46651,,43880,,,Standard,0,,"99132,99133,99134,99135,99136,99137,103571,103572,103573,103574,103575",0Oe4W3Rwf1Dht7uPdCMTnL,1,,M_Duplex Receptacle:Standard:Standard:908898,,,N/A,1982,N/A,,N/A,N/A,N/A,N/A,N/A,, 120 V/1-180 VA,N/A,Linked Revit Model : Clinic_A.rvt,UNSET,,,Level: Level 1,,,,0.500000,,,,,,,,0.460000,,,,,N/A,UNSET,N/A,N/A,TRUE,N/A,0,N/A,0,0,0,0,0,UNSET,N/A,N/A,FIXED,N/A,Ground Fault Receptacles,UNSET,N/A,,N/A,N/A,N/A,0,L1,0,N/A,N/A,N/A,0,,,,,,,,,,,,,,,,,N/A,,,,23.80.50.11.17,,,,,,,,Receptacle,,N21E1,9,,,,,,1291.669250,0.000000,408,1937.503875,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,1DC7,,911979,New Construction,N/A,,,,,,103331,,46675,,43904,,,Standard,0,,"99276,99277,99278,99279,99280,99281,103571,103572,103573,103574,103575",0Oe4W3Rwf1Dht7uPdCMUXS,1,,M_Duplex Receptacle:Standard:Standard:911979,,,N/A,2006,N/A,,N/A,N/A,N/A,N/A,N/A,, 120 V/1-180 VA,N/A,Linked Revit Model : Clinic_A.rvt,UNSET,,,Level: Level 1,,,,0.500000,,,,,,,,0.460000,,,,,N/A,UNSET,N/A,N/A,TRUE,N/A,0,N/A,0,0,0,0,0,UNSET,N/A,N/A,FIXED,N/A,Ground Fault Receptacles,UNSET,N/A,,N/A,N/A,N/A,0,L1,0,N/A,N/A,N/A,0,,,,,,,,,,,,,,,,,N/A,,,,23.80.50.11.17,,,,,,,,Receptacle,,N21E1,1,,,,,,1291.669250,0.000000,432,1937.503875,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,1DC8,0,817488,New Construction,N/A,,0,,0,,102934,Point+HemiSpherical,46056,,53825,REF TYPE MARK,0,B3B - 610x610mm,0,86627,"95489,95490,95491,95492,95493,95494,95495,103533,103534,103535,103536,103537,103538,103539,103540,103541",0FXKOTtYf3kRrcedvXFWkU,1,,M_Troffer Light - Parabolic Square:B3B - 610x610mm:B3B - 610x610mm:817488,,YES,N/A,1020,N/A,16777215,N/A,N/A,N/A,N/A,N/A,, 120 V/1-40 VA,N/A,Linked Revit Model : Clinic_A.rvt,UNSET,,,Level: Level 1,UNSET,F,0,2.680000,,430.556417,0,0.050000,,,,1.200000,,,"U-SHAPED, CRI=75",,N/A,UNSET,N/A,N/A,TRUE,N/A,0,N/A,0,0,0,0,0,UNSET,N/A,N/A,FIXED,N/A,Downlights,UNSET,N/A,,N/A,N/A,N/A,0,L1,0,N/A,N/A,N/A,0,UNSET,UNSET,0,0,0,0,0,,,,,,,,,,N/A,,,,23.80.70.11.14.11,,,B3B,,,,1291.669250,Lighting - Dwelling Unit,1,L41B,4,,,3150.000000,32,,,,,,,,,"Metal - Paint Finish - Dark Gray, Matte","Glass - White, High Luminance",Metal - Chrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,1DC8,,908952,New Construction,N/A,,,,,,102934,,46652,,43881,,,Standard,0,,"99138,99139,99140,99141,99142,99143,103571,103572,103573,103574,103575",0Oe4W3Rwf1Dht7uPdCMTol,1,,M_Duplex Receptacle:Standard:Standard:908952,,,N/A,1983,N/A,,N/A,N/A,N/A,N/A,N/A,, 120 V/1-180 VA,N/A,Linked Revit Model : Clinic_A.rvt,UNSET,,,Level: Level 1,,,,0.500000,,,,,,,,0.460000,,,,,N/A,UNSET,N/A,N/A,TRUE,N/A,0,N/A,0,0,0,0,0,UNSET,N/A,N/A,FIXED,N/A,Ground Fault Receptacles,UNSET,N/A,,N/A,N/A,N/A,0,L1,0,N/A,N/A,N/A,0,,,,,,,,,,,,,,,,,N/A,,,,23.80.50.11.17,,,,,,,,Receptacle,,N21E1,6,,,,,,1291.669250,0.000000,409,1937.503875,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,1C12,0,743109,New Construction,N/A,,0,,0,,103012,Point+HemiSpherical,45415,,53286,REF TYPE MARK,0,B3 - 610x610mm,0,87027,"91076,91077,91078,91079,91080,91081,91082,103543,103544,103545,103546,103547,103548,103549,103550,103551",312$WHH7b36fc6XaYoDlsw,1,,M_Troffer Light - Parabolic Square:B3 - 610x610mm:B3 - 610x610mm:743109,,NO,N/A,616,N/A,16777215,N/A,N/A,N/A,N/A,N/A,, 120 V/1-40 VA,N/A,Linked Revit Model : Clinic_A.rvt,UNSET,,,Level: Level 1,UNSET,F,0,2.680000,,430.556417,0,0.050000,,,,1.200000,,,"U-SHAPED, CRI=75",,N/A,UNSET,N/A,N/A,TRUE,N/A,0,N/A,0,0,0,0,0,UNSET,N/A,N/A,FIXED,N/A,Downlights,UNSET,N/A,,N/A,N/A,N/A,0,L1,0,N/A,N/A,N/A,0,UNSET,UNSET,0,0,0,0,0,,,,,,,,,,N/A,,,,23.80.70.11.14.11,,,B3,,,,1291.669250,Lighting - Dwelling Unit,1,L41C,4,,,3150.000000,32,,,,,,,,,"Metal - Paint Finish - Dark Gray, Matte","Glass - White, High Luminance",Metal - Chrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1294,1C12,,796984,New Construction,N/A,,,,,,103012,,45958,,43223,,,Single Pole,0,,"94903,94904,94905,94906,94907,94908,103554,103555,103556,103557,103558,103559",0FGGKr9E19BvyMqqUqhCLN,1,,M_Lighting Switches:Single Pole:Single Pole:796984,,,N/A,1294,N/A,,N/A,N/A,N/A,N/A,N/A,, 120 V/1-0 VA,N/A,Linked Revit Model : Clinic_A.rvt,,,,Level: Level 1,,,,1.200000,,0.000000,,,,,,1.200000,,,,,N/A,UNSET,N/A,N/A,TRUE,N/A,0,N/A,0,0,0,0,0,UNSET,N/A,N/A,FIXED,N/A,Switches,UNSET,N/A,,N/A,N/A,N/A,0,L1,0,N/A,N/A,N/A,0,,,,,,,,,,,,,,,,,N/A,,,,23.80.50.11.14,,,,,,,,Other,,L41C,4,,,,,,1291.669250,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1590,1C12,,863378,New Construction,N/A,,,,,,103012,,46249,,43488,,,Standard,0,,"96710,96711,96712,96713,96714,96715,103571,103572,103573,103574,103575",0Oe4W3Rwf1Dht7uPdCMIwb,1,,M_Duplex Receptacle:Standard:Standard:863378,,,N/A,1590,N/A,,N/A,N/A,N/A,N/A,N/A,, 120 V/1-180 VA,N/A,Linked Revit Model : Clinic_A.rvt,UNSET,,,Level: Level 1,,,,0.500000,,,,,,,,0.460000,,,,,N/A,UNSET,N/A,N/A,TRUE,N/A,0,N/A,0,0,0,0,0,UNSET,N/A,N/A,FIXED,N/A,Ground Fault Receptacles,UNSET,N/A,,N/A,N/A,N/A,0,L1,0,N/A,N/A,N/A,0,,,,,,,,,,,,,,,,,N/A,,,,23.80.50.11.17,,,,,,,,Receptacle,,N21C,2,,,,,,1291.669250,0.000000,16,1937.503875,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,1C13,0,744180,New Construction,N/A,,0,,0,,103011,Point+HemiSpherical,45489,,53360,REF TYPE MARK,0,Q4 - 1219mm - 1m Drop,0,86953,"91602,91603,91604,91605,91606,91607,91608,103507,103508,103509,103510,103511,103512,103513,103514,103515",1MPejKGxvAxOPe64yBS3rq,1,,M_Pendant Light - Linear:Q4 - 1219mm - 1m Drop:Q4 - 1219mm - 1m Drop:744180,,NO,N/A,690,N/A,16777215,N/A,N/A,N/A,N/A,N/A,, 120 V/1-64 VA,N/A,Linked Revit Model : Clinic_A.rvt,UNSET,,,Level: Level 1,UNSET,F,0,2.680000,,688.890267,0,0.050000,,,,1.200000,,,"T8, 1219mm, RAPID START, CRI=75
T8, 1219mm, RAPID START, CRI=75
T8, 1219mm, RAPID START, CRI=75",,N/A,UNSET,N/A,N/A,TRUE,N/A,0,N/A,0,0,0,0,0,UNSET,N/A,N/A,FIXED,N/A,"General Luminaries, Non Directional",UNSET,N/A,D5020210,N/A,N/A,N/A,0,L1,0,N/A,N/A,N/A,0,UNSET,UNSET,0,0,0,0,0,,,,,,,,,,N/A,Lighting - Fluorescent,,,23.80.70.11.11,,,Q4,,,,1291.669250,Lighting - Dwelling Unit,1,N21C1,22,,,2900.000000,32,,,,,,,,,,"Glass - White, High Luminance",,1.200000,2.000000,"Metal - Paint Finish - Ivory, Glossy","Metal - Paint Finish - Ivory, Glossy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691,1C13,0,744273,New Construction,N/A,,0,,0,,103011,Point+HemiSpherical,45490,,53361,REF TYPE MARK,0,Q4 - 1219mm - 1m Drop,0,86952,"91609,91610,91611,91612,91613,91614,91615,103507,103508,103509,103510,103511,103512,103513,103514,103515",1MPejKGxvAxOPe64yBS3pH,1,,M_Pendant Light - Linear:Q4 - 1219mm - 1m Drop:Q4 - 1219mm - 1m Drop:744273,,NO,N/A,691,N/A,16777215,N/A,N/A,N/A,N/A,N/A,, 120 V/1-64 VA,N/A,Linked Revit Model : Clinic_A.rvt,UNSET,,,Level: Level 1,UNSET,F,0,2.680000,,688.890267,0,0.050000,,,,1.200000,,,"T8, 1219mm, RAPID START, CRI=75
T8, 1219mm, RAPID START, CRI=75
T8, 1219mm, RAPID START, CRI=75",,N/A,UNSET,N/A,N/A,TRUE,N/A,0,N/A,0,0,0,0,0,UNSET,N/A,N/A,FIXED,N/A,"General Luminaries, Non Directional",UNSET,N/A,D5020210,N/A,N/A,N/A,0,L1,0,N/A,N/A,N/A,0,UNSET,UNSET,0,0,0,0,0,,,,,,,,,,N/A,Lighting - Fluorescent,,,23.80.70.11.11,,,Q4,,,,1291.669250,Lighting - Dwelling Unit,1,N21C1,22,,,2900.000000,32,,,,,,,,,,"Glass - White, High Luminance",,1.200000,2.000000,"Metal - Paint Finish - Ivory, Glossy","Metal - Paint Finish - Ivory, Glossy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,1C13,,799439,New Construction,N/A,,,,,,103011,,45964,,43229,,,Single Pole,0,,"94939,94940,94941,94942,94943,94944,103554,103555,103556,103557,103558,103559",1LRV9a7_TAYg7FVXvT_Mfg,1,,M_Lighting Switches:Single Pole:Single Pole:799439,,,N/A,1300,N/A,,N/A,N/A,N/A,N/A,N/A,, 120 V/1-0 VA,N/A,Linked Revit Model : Clinic_A.rvt,,,,Level: Level 1,,,,1.200000,,0.000000,,,,,,1.200000,,,,,N/A,UNSET,N/A,N/A,TRUE,N/A,0,N/A,0,0,0,0,0,UNSET,N/A,N/A,FIXED,N/A,Switches,UNSET,N/A,,N/A,N/A,N/A,0,L1,0,N/A,N/A,N/A,0,,,,,,,,,,,,,,,,,N/A,,,,23.80.50.11.14,,,,,,,,Other,,N21C1,22,,,,,,1291.669250,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,1C14,0,739639,New Construction,N/A,,0,,0,,103165,Point+HemiSpherical,45273,,53144,REF TYPE MARK,0,B1 - 0610x1219mm,0,87169,"90029,90030,90031,90032,90033,90034,90035,103561,103562,103563,103564,103565,103566,103567,103568,103569",1Ew_8oRPr27vHUxllyBcNd,1,,M_Troffer Light - Parabolic Rectangular:B1 - 0610x1219mm:B1 - 0610x1219mm:739639,,NO,N/A,474,N/A,16777215,N/A,N/A,N/A,N/A,N/A,, 120 V/1-80 VA,N/A,<not associated>,UNSET,,,Level: Level 1,UNSET,F,0,2.680000,,861.112833,0,0.050000,,,,1.200000,,,"T8, 1219mm, RAPID START, CRI=75",,N/A,UNSET,N/A,N/A,TRUE,N/A,0,N/A,0,0,0,0,0,UNSET,N/A,N/A,FIXED,N/A,Downlights,UNSET,N/A,D5020210,N/A,N/A,N/A,0,L1,0,N/A,N/A,N/A,0,UNSET,UNSET,0,0,0,0,0,,,,,,,,,,N/A,Lighting - Fluorescent,,,23.80.70.11.14.11,,,B1,,,,1291.669250,Lighting - Dwelling Unit,1,L41C,4,,,2900.000000,32,,,,,,,,,"Metal - Paint Finish - Dark Gray, Matte","Glass - White, High Luminance",Metal - Chrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,1C14,0,739647,New Construction,N/A,,0,,0,,103165,Point+HemiSpherical,45274,,53145,REF TYPE MARK,0,B1 - 0610x1219mm,0,87168,"90037,90038,90039,90040,90041,90042,90043,103561,103562,103563,103564,103565,103566,103567,103568,103569",1Ew_8oRPr27vHUxllyBcNl,1,,M_Troffer Light - Parabolic Rectangular:B1 - 0610x1219mm:B1 - 0610x1219mm:739647,,NO,N/A,475,N/A,16777215,N/A,N/A,N/A,N/A,N/A,, 120 V/1-80 VA,N/A,<not associated>,UNSET,,,Level: Level 1,UNSET,F,0,2.680000,,861.112833,0,0.050000,,,,1.200000,,,"T8, 1219mm, RAPID START, CRI=75",,N/A,UNSET,N/A,N/A,TRUE,N/A,0,N/A,0,0,0,0,0,UNSET,N/A,N/A,FIXED,N/A,Downlights,UNSET,N/A,D5020210,N/A,N/A,N/A,0,L1,0,N/A,N/A,N/A,0,UNSET,UNSET,0,0,0,0,0,,,,,,,,,,N/A,Lighting - Fluorescent,,,23.80.70.11.14.11,,,B1,,,,1291.669250,Lighting - Dwelling Unit,1,L41C,4,,,2900.000000,32,,,,,,,,,"Metal - Paint Finish - Dark Gray, Matte","Glass - White, High Luminance",Metal - Chrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293,1C14,,796348,New Construction,N/A,,,,,,103165,,45957,,43222,,,Single Pole,0,,"94897,94898,94899,94900,94901,94902,103554,103555,103556,103557,103558,103559",0FGGKr9E19BvyMqqUqhChJ,1,,M_Lighting Switches:Single Pole:Single Pole:796348,,,N/A,1293,N/A,,N/A,N/A,N/A,N/A,N/A,, 120 V/1-0 VA,N/A,Linked Revit Model : Clinic_A.rvt,,,,Level: Level 1,,,,1.200000,,0.000000,,,,,,1.200000,,,,,N/A,UNSET,N/A,N/A,TRUE,N/A,0,N/A,0,0,0,0,0,UNSET,N/A,N/A,FIXED,N/A,Switches,UNSET,N/A,,N/A,N/A,N/A,0,L1,0,N/A,N/A,N/A,0,,,,,,,,,,,,,,,,,N/A,,,,23.80.50.11.14,,,,,,,,Other,,L41C,4,,,,,,1291.669250,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
