,Parent,ExpectedLife,Loss Method,Tag,Phase Created,AccessibilityPerformance,WarrantyGuarantorParts,Angle,AssetAccountingType,System Name,CodePerformance,ContainedInStructure,Fitting Outside Diameter,Level,Insulation Radius,ObjectPlacement,Insulation Thickness,Representation,Reference,ObjectType,Size,IsDefinedBy,GlobalId,Color,OwnerHistory,Name,Description,InstallationDate,ODAUniqueID,WarrantyGuarantorLabor,Tick Size,Nominal Radius,Nominal Diameter,ModelNumber,Features,TagNumber,Center to End,BarCode,System Type,K Coefficient Table,Fitting Outside Radius,Use Annotation Scale,Center Radius,SerialNumber,WarrantyStartDate,AssetIdentifier,Host,Offset,Mark,ReplacementCost,Lookup Table Name,Constituents,OmniClass Title,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,Manufacturer,OmniClass Number,Center to End Label,Angle 1,Visibility 3,Visibility 2,Visibility 1,OffsetHeight,Fitting Outside Diameter 2,Fitting Outside Diameter 1,Insulation Radius 2,Insulation Radius 1,Nominal Diameter 2,Nominal Diameter 1,Width Offset,Max Fitting Outside Diameter 12,Height Offset,Fitting Outside Radius 2,Fitting Outside Radius 1,Tick Size 2,Tick Size 1,Nominal Radius 2,Nominal Radius 1,Length,OffsetWidth,W0,Num 6,OffsetWidthfromBase,Num 8,Lining Radius,Num 10,Num 1,Num 4,Num 3,Radius,Num 9,OffsetHeightfromBase,Num 7,Length01,Length 8,Length 7,Length 6,Length 5,Length 4,Num 2,Length 2,Length 1,Length 3,Half H0,Half W0,Num 5,Delta 2,Delta 1,Lining W0,Lining H0,Insulation H0,Insulation W0,H0,OffsetWidthTemp,OffsetHeightTemp,Diameter,Lining Thickness,Tee,Reference Level,Additional Flow,Inner Diameter,Friction,Flow State,Invert Elevation,Flow,Reynolds Number,Relative Roughness,Friction Factor,End Offset,Velocity,Pressure Drop,Section,Area,Outer Diameter,Horizontal Justification,Vertical Justification,Start Offset,Slope,Roughness,Connection Type,Cross,Class,Elbow,Preferred Junction Type,Transition,Union,Tap,Top Elevation,Velocity Pressure,Bottom Elevation,Size Lock,Loss Coefficient,Hydraulic Diameter,Reynolds number,Multi Shape Transition Rect to Round,Multi Shape Transition Oval to Round,Design HVAC Load per area,InteriorOrExteriorSpace,LongName,ElevationWithFlooring,Upper Limit,CompositionType,Number,Decomposes,Average Estimated Illumination,Condition Type,GSA BIM Area,Room Number,Design Cooling Load,Unbounded Height,Room Name,Phase,Base Offset,Limit Offset,Perimeter,Volume,Plenum,Occupiable,Design Other Load per area,Specified Return Airflow,Zone,Space Type,Design Heating Load,Room Cavity Ratio,Return Airflow,Specified Supply Airflow,Actual Supply Airflow,Actual Return Airflow,Actual Exhaust Airflow,Specified Exhaust Airflow,Lighting Calculation Workplane,Ceiling Reflectance,Wall Reflectance,Floor Reflectance,Calculated Supply Airflow,Calculated Heating Load,Calculated Cooling Load,BoundedBy,Type Comments,Model,Height,Connector,Keynote,Comments,Type Mark,Power,Assembly Code,Schedule Level,Elevation,Default Elevation,URL,Cost,Assembly Description,BtuPerFt,Hot Water Diameter,Voltage,Gas Radius,Vent Radius,Electrical Box Height,Exhaust Air Flow,Boiler Radius,Electrical Box Width,Water Pressure Drop,Water Flow,Output Heat,Input Heat,Gas Flow,Exhaust Air Pressure Drop,Load Classification,Circuit Number,Number of Poles,Hot Water Radius,Vent Box Diameter,Vent Diameter,Vent Box Height,Gas Diameter,Electrical Box Length,Cold Water Radius,Cold Water Diameter,Boiler Top Diameter,Boiler Height,Boiler Diameter,Vent Box Radius,Radius 1,Boiler Top Radius,Apparent Load,Nut Height,Stem Radius,Nut Radius,Stem Height,Seal Length,Stem Diameter,Nut Diameter,Handle Width,Handle Length,Handle Height,Body Radius,Body Height,Body Length,Body Diameter,Adapter Radius,Adapter Length,Adapter Diameter,Half Nut Height,K Coefficient,Radius 10,Outside Radius,Width 1,Width 2,Thickness 1,Radius 9,Radius 8,Radius 7,Radius 6,Radius 5,Radius 4,Radius 3,Radius 2,Length 9,Height 1,Height 2,Height 3,Height 4,Height 5,Height 6,Angle 2,Valve Length,Outside Diameter,Open Height,C1 Offset 1,C1 Offset 2,Suction Nominal Radius,Suction Outside Diameter,Flow Rate,RPM,Suction Outside Radius,Suction Nominal Diameter,Outside Diameter 1,Outside Diameter 2,Outside Diameter 4,Housing Width,Flange Height,Flange Diameter,Discharge Nominal Radius,Discharge Nominal Diameter,Outside Radius 1,Outside Radius 2,Outside Radius 4,Flange Radius,External Static Presure,Air Flow,Half Outlet Radius,Half Exhaust Inlet Height,Diameter 1,Diameter 2,Overall Height,Fan Radius,Fan Height,Fan Diameter,Outlet Width,Outlet Height,Cap Radius,Cap Diameter,Base Width
93872,Level 1,ExpectedLife,5,600493,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,90.001324,FIXED,Hydronic Return Unit A,CodePerformance,154873,0.093750,Level 2,0.046875,93871,0.000000,93867,Reference,Standard,25 mm-25 mm,"93900,93902,93904,93906,93908,93910,93912,154954,154982,154983,154984",2L092XWcn0RxVZVA3Xblb7,Color,33,M_Elbow - Generic:Standard:Standard:600493,,InstallationDate,93872,WarrantyGuarantorLabor,0.037500,0.041010,0.082021,ModelNumber,Features,TagNumber,0.067708,BarCode,Hydronic Supply,"Regular 45, 90 and 180 Elbow",0.046875,T,0.067708,SerialNumber,WarrantyStartDate,AssetIdentifier,Level : Level 2,-3.004800,1269,ReplacementCost,M_Pipe Fitting - Generic.csv,Constituents,Pipework Fittings,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,Manufacturer,23.60.30.11.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96459,Level 1,ExpectedLife,5,600509,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,90.000005,FIXED,Hydronic Return Unit A,CodePerformance,154873,0.093750,Level 1,0.046875,96458,0.000000,96454,Reference,Standard,25 mm-25 mm,"96487,96489,96491,96493,96495,96497,96499,154955,154982,154983,154984",2L092XWcn0RxVZVA3XblbN,Color,33,M_Elbow - Generic:Standard:Standard:600509,,InstallationDate,96459,WarrantyGuarantorLabor,0.037500,0.041010,0.082021,ModelNumber,Features,TagNumber,0.067708,BarCode,Hydronic Supply,"Regular 45, 90 and 180 Elbow",0.046875,T,0.067708,SerialNumber,WarrantyStartDate,AssetIdentifier,Level : Level 1,0.095200,1271,ReplacementCost,M_Pipe Fitting - Generic.csv,Constituents,Pipework Fittings,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,Manufacturer,23.60.30.11.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96508,Level 1,ExpectedLife,5,600517,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,90.000000,FIXED,Hydronic Return Unit A,CodePerformance,154873,0.093750,Level 1,0.046875,96507,0.000000,96503,Reference,Standard,25 mm-25 mm,"96536,96538,96540,96542,96544,96546,96548,154927,154982,154983,154984",2L092XWcn0RxVZVA3Xblal,Color,33,M_Elbow - Generic:Standard:Standard:600517,,InstallationDate,96508,WarrantyGuarantorLabor,0.037500,0.041010,0.082021,ModelNumber,Features,TagNumber,0.067708,BarCode,Hydronic Supply,"Regular 45, 90 and 180 Elbow",0.046875,T,0.067708,SerialNumber,WarrantyStartDate,AssetIdentifier,Level : Level 1,0.095200,1273,ReplacementCost,M_Pipe Fitting - Generic.csv,Constituents,Pipework Fittings,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,Manufacturer,23.60.30.11.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99086,Level 1,ExpectedLife,5,600581,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,89.999551,FIXED,Hydronic Return Unit A,CodePerformance,154873,0.093750,Level 1,0.046875,99085,0.000000,99082,Reference,Standard,25 mm-25 mm,"99114,99116,99118,99120,99122,99124,99126,154956,154982,154983,154984",2L092XWcn0RxVZVA3Xblhl,Color,33,M_Elbow - Generic:Standard:Standard:600581,,InstallationDate,99086,WarrantyGuarantorLabor,0.037500,0.041010,0.082021,ModelNumber,Features,TagNumber,0.067708,BarCode,Hydronic Supply,"Regular 45, 90 and 180 Elbow",0.046875,T,0.067708,SerialNumber,WarrantyStartDate,AssetIdentifier,Level : Level 1,0.095201,1278,ReplacementCost,M_Pipe Fitting - Generic.csv,Constituents,Pipework Fittings,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,Manufacturer,23.60.30.11.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99312,Level 1,ExpectedLife,5,600590,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,90.000000,FIXED,Hydronic Return Unit A,CodePerformance,154873,0.093750,Level 1,0.046875,99311,0.000000,99308,Reference,Standard,25 mm-25 mm,"99340,99342,99344,99346,99348,99350,99352,154927,154982,154983,154984",2L092XWcn0RxVZVA3Xblha,Color,33,M_Elbow - Generic:Standard:Standard:600590,,InstallationDate,99312,WarrantyGuarantorLabor,0.037500,0.041010,0.082021,ModelNumber,Features,TagNumber,0.067708,BarCode,Hydronic Supply,"Regular 45, 90 and 180 Elbow",0.046875,T,0.067708,SerialNumber,WarrantyStartDate,AssetIdentifier,Level : Level 1,0.095200,1280,ReplacementCost,M_Pipe Fitting - Generic.csv,Constituents,Pipework Fittings,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,Manufacturer,23.60.30.11.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99360,Level 1,ExpectedLife,5,600599,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,90.000000,FIXED,Hydronic Return Unit A,CodePerformance,154873,0.093750,Level 1,0.046875,99359,0.000000,99356,Reference,Standard,25 mm-25 mm,"99388,99390,99392,99394,99396,99398,99400,154927,154982,154983,154984",2L092XWcn0RxVZVA3Xblhz,Color,33,M_Elbow - Generic:Standard:Standard:600599,,InstallationDate,99360,WarrantyGuarantorLabor,0.037500,0.041010,0.082021,ModelNumber,Features,TagNumber,0.067708,BarCode,Hydronic Supply,"Regular 45, 90 and 180 Elbow",0.046875,T,0.067708,SerialNumber,WarrantyStartDate,AssetIdentifier,Level : Level 1,0.095200,1282,ReplacementCost,M_Pipe Fitting - Generic.csv,Constituents,Pipework Fittings,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,Manufacturer,23.60.30.11.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99588,Level 1,ExpectedLife,5,600699,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,90.000000,FIXED,Hydronic Return Unit A,CodePerformance,154873,0.093750,Level 1,0.046875,99587,0.000000,99584,Reference,Standard,25 mm-25 mm,"99616,99618,99620,99622,99624,99626,99628,154927,154982,154983,154984",2L092XWcn0RxVZVA3XblgH,Color,33,M_Elbow - Generic:Standard:Standard:600699,,InstallationDate,99588,WarrantyGuarantorLabor,0.037500,0.041010,0.082021,ModelNumber,Features,TagNumber,0.067708,BarCode,Hydronic Supply,"Regular 45, 90 and 180 Elbow",0.046875,T,0.067708,SerialNumber,WarrantyStartDate,AssetIdentifier,Level : Level 1,0.095200,1283,ReplacementCost,M_Pipe Fitting - Generic.csv,Constituents,Pipework Fittings,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,Manufacturer,23.60.30.11.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99816,Level 1,ExpectedLife,5,600710,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,90.000000,FIXED,Hydronic Return Unit A,CodePerformance,154873,0.093750,Level 1,0.046875,99815,0.000000,99812,Reference,Standard,25 mm-25 mm,"99844,99846,99848,99850,99852,99854,99856,154927,154982,154983,154984",2L092XWcn0RxVZVA3Xblfi,Color,33,M_Elbow - Generic:Standard:Standard:600710,,InstallationDate,99816,WarrantyGuarantorLabor,0.037500,0.041010,0.082021,ModelNumber,Features,TagNumber,0.067708,BarCode,Hydronic Supply,"Regular 45, 90 and 180 Elbow",0.046875,T,0.067708,SerialNumber,WarrantyStartDate,AssetIdentifier,Level : Level 1,0.095200,1287,ReplacementCost,M_Pipe Fitting - Generic.csv,Constituents,Pipework Fittings,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,Manufacturer,23.60.30.11.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100223,Level 1,ExpectedLife,5,600862,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,90.000000,FIXED,Hydronic Supply Unit B,CodePerformance,154873,0.093750,Level 2,0.046875,100222,0.000000,100217,Reference,Standard,25 mm-25 mm,"100251,100253,100255,100257,100259,100261,100263,154927,154982,154983,154984",2L092XWcn0RxVZVA3Xbllq,Color,33,M_Elbow - Generic:Standard:Standard:600862,,InstallationDate,100223,WarrantyGuarantorLabor,0.037500,0.041010,0.082021,ModelNumber,Features,TagNumber,0.067708,BarCode,Hydronic Supply,"Regular 45, 90 and 180 Elbow",0.046875,T,0.067708,SerialNumber,WarrantyStartDate,AssetIdentifier,Level : Level 2,-0.441249,1309,ReplacementCost,M_Pipe Fitting - Generic.csv,Constituents,Pipework Fittings,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,Manufacturer,23.60.30.11.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102847,Level 1,ExpectedLife,5,600907,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,90.040553,FIXED,Hydronic Supply Unit B,CodePerformance,154873,0.093750,Level 2,0.046875,102846,0.000000,102843,Reference,Standard,25 mm-25 mm,"102875,102877,102879,102881,102883,102885,102887,154957,154982,154983,154984",2L092XWcn0RxVZVA3XblkX,Color,33,M_Elbow - Generic:Standard:Standard:600907,,InstallationDate,102847,WarrantyGuarantorLabor,0.037500,0.041010,0.082021,ModelNumber,Features,TagNumber,0.067708,BarCode,Hydronic Supply,"Regular 45, 90 and 180 Elbow",0.046875,T,0.067708,SerialNumber,WarrantyStartDate,AssetIdentifier,Level : Level 2,-0.441308,1313,ReplacementCost,M_Pipe Fitting - Generic.csv,Constituents,Pipework Fittings,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,Manufacturer,23.60.30.11.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102896,Level 1,ExpectedLife,5,600910,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,90.000000,FIXED,Hydronic Supply Unit B,CodePerformance,154873,0.093750,Level 2,0.046875,102895,0.000000,102891,Reference,Standard,25 mm-25 mm-25 mm,"102925,102927,102929,102931,102933,102935,102937,154928,154979,154980,154981",2L092XWcn0RxVZVA3Xblka,Color,33,M_Tee - Generic:Standard:Standard:600910,,InstallationDate,102896,WarrantyGuarantorLabor,0.037500,0.041010,0.082021,ModelNumber,Features,TagNumber,0.088542,BarCode,Hydronic Supply,Tee,0.046875,T,,SerialNumber,WarrantyStartDate,AssetIdentifier,Level : Level 2,-0.441249,1315,ReplacementCost,M_Pipe Fitting - Generic.csv,Constituents,Pipework Fittings,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,Manufacturer,23.60.30.11.14,0.088542,90.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103387,Level 1,ExpectedLife,5,600922,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,90.040553,FIXED,Hydronic Supply Unit B,CodePerformance,154873,0.093750,Level 2,0.046875,103386,0.000000,103383,Reference,Standard,25 mm-25 mm,"103415,103417,103419,103421,103423,103425,103427,154957,154982,154983,154984",2L092XWcn0RxVZVA3Xblkm,Color,33,M_Elbow - Generic:Standard:Standard:600922,,InstallationDate,103387,WarrantyGuarantorLabor,0.037500,0.041010,0.082021,ModelNumber,Features,TagNumber,0.067708,BarCode,Hydronic Supply,"Regular 45, 90 and 180 Elbow",0.046875,T,0.067708,SerialNumber,WarrantyStartDate,AssetIdentifier,Level : Level 2,-0.441279,1319,ReplacementCost,M_Pipe Fitting - Generic.csv,Constituents,Pipework Fittings,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,Manufacturer,23.60.30.11.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103436,Level 1,ExpectedLife,5,600924,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,90.000000,FIXED,Hydronic Supply Unit B,CodePerformance,154873,0.093750,Level 2,0.046875,103435,0.000000,103431,Reference,Standard,25 mm-25 mm-25 mm,"103465,103467,103469,103471,103473,103475,103477,154928,154979,154980,154981",2L092XWcn0RxVZVA3Xblks,Color,33,M_Tee - Generic:Standard:Standard:600924,,InstallationDate,103436,WarrantyGuarantorLabor,0.037500,0.041010,0.082021,ModelNumber,Features,TagNumber,0.088542,BarCode,Hydronic Supply,Tee,0.046875,T,,SerialNumber,WarrantyStartDate,AssetIdentifier,Level : Level 2,-0.441221,1321,ReplacementCost,M_Pipe Fitting - Generic.csv,Constituents,Pipework Fittings,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,Manufacturer,23.60.30.11.14,0.088542,90.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106430,Level 1,ExpectedLife,5,601021,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,90.000002,FIXED,Hydronic Supply Unit B,CodePerformance,154873,0.093750,Level 2,0.046875,106429,0.000000,106425,Reference,Standard,25 mm-25 mm,"106458,106460,106462,106464,106466,106468,106470,154958,154982,154983,154984",2L092XWcn0RxVZVA3XbljN,Color,33,M_Elbow - Generic:Standard:Standard:601021,,InstallationDate,106430,WarrantyGuarantorLabor,0.037500,0.041010,0.082021,ModelNumber,Features,TagNumber,0.067708,BarCode,Hydronic Supply,"Regular 45, 90 and 180 Elbow",0.046875,T,0.067708,SerialNumber,WarrantyStartDate,AssetIdentifier,Level : Level 2,-2.922200,1325,ReplacementCost,M_Pipe Fitting - Generic.csv,Constituents,Pipework Fittings,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,Manufacturer,23.60.30.11.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106659,Level 1,ExpectedLife,5,601037,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,90.000002,FIXED,Hydronic Supply Unit B,CodePerformance,154873,0.093750,Level 1,0.046875,106658,0.000000,106654,Reference,Standard,25 mm-25 mm,"106687,106689,106691,106693,106695,106697,106699,154958,154982,154983,154984",2L092XWcn0RxVZVA3Xblid,Color,33,M_Elbow - Generic:Standard:Standard:601037,,InstallationDate,106659,WarrantyGuarantorLabor,0.037500,0.041010,0.082021,ModelNumber,Features,TagNumber,0.067708,BarCode,Hydronic Supply,"Regular 45, 90 and 180 Elbow",0.046875,T,0.067708,SerialNumber,WarrantyStartDate,AssetIdentifier,Level : Level 1,0.177800,1327,ReplacementCost,M_Pipe Fitting - Generic.csv,Constituents,Pipework Fittings,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,Manufacturer,23.60.30.11.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
