,Parent,ExpectedLife,Loss Method,Tag,Phase Created,AccessibilityPerformance,WarrantyGuarantorParts,Angle,AssetAccountingType,System Name,CodePerformance,ContainedInStructure,Fitting Outside Diameter,Level,Insulation Radius,ObjectPlacement,Insulation Thickness,Representation,Reference,ObjectType,Size,IsDefinedBy,GlobalId,Color,OwnerHistory,Name,Description,InstallationDate,ODAUniqueID,WarrantyGuarantorLabor,Tick Size,Nominal Radius,Nominal Diameter,Features,TagNumber,Center to End,BarCode,System Type,K Coefficient Table,Fitting Outside Radius,Constituents,Use Annotation Scale,Center Radius,SerialNumber,WarrantyStartDate,AssetIdentifier,Host,Offset,Mark,ReplacementCost,Lookup Table Name,OmniClass Title,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,ModelLabel,Manufacturer,OmniClass Number,Center to End Label,Angle 1,Visibility 3,Visibility 2,Visibility 1,OffsetHeight,Fitting Outside Diameter 2,Fitting Outside Diameter 1,Insulation Radius 2,Insulation Radius 1,Nominal Diameter 2,Nominal Diameter 1,Width Offset,Max Fitting Outside Diameter 12,Height Offset,Fitting Outside Radius 2,Fitting Outside Radius 1,Tick Size 2,Tick Size 1,Nominal Radius 2,Nominal Radius 1,Length,OffsetWidth,Socket Depth,Socket Entrance Diameter,Center to Socket Bottom Label,Wall Thickness,Socket Outside Diameter,Center to Socket Bottom,Socket Insulation Outside Diameter,Socket Outside Radius,Socket Insulation Depth,Socket Insulation Outside Radius,Length 2,Length 1,Center to Socket Bottom Not Found,W0,Num 6,OffsetWidthfromBase,Num 8,Lining Radius,Num 10,Num 1,Num 4,Num 3,Radius,Num 9,OffsetHeightfromBase,Num 7,Length01,Length 8,Length 7,Length 6,Length 5,Length 4,Num 2,Length 3,Half H0,Half W0,Num 5,Delta 2,Delta 1,Lining W0,Lining H0,Insulation H0,Insulation W0,H0,OffsetWidthTemp,OffsetHeightTemp,Diameter,Lining Thickness,Schedule Level,Elevation,Default Elevation,Pipe Radius,Overall Diameter,Pipe Diameter,Overall Radius,Tee,Reference Level,Additional Flow,Inner Diameter,Invert Elevation,Flow,Reynolds Number,Relative Roughness,Friction,Flow State,Friction Factor,End Offset,Velocity,Pressure Drop,Section,Area,Outer Diameter,Horizontal Justification,Vertical Justification,Start Offset,Slope,Roughness,Connection Type,Cross,Class,Classification Description,Classification Code,Elbow,Preferred Junction Type,Transition,Union,Bend Radius,Conduit Size Lookup,Conduit Length,Bend Radius Label,Bend or Fitting,Fixture Units,Diameter(Trade Size),Top Elevation,Bottom Elevation,Standard,Bend,Tap,Velocity Pressure,Size Lock,Loss Coefficient,Hydraulic Diameter,Reynolds number,Multi Shape Transition Rect to Round,Multi Shape Transition Oval to Round,Nut Height,Body Radius,Adapter Length,Stem Radius,Handle Height,Body Diameter,Handle Length,Stem Height,Seal Length,Stem Diameter,Nut Radius,Nut Diameter,Handle Width,Body Length,Body Height,Adapter Radius,Adapter Diameter,Half Nut Height,K Coefficient,Base Radius,Head Radius,Head Small Radius,Head Depth,Panel,Circuit Number,Base Depth,Radius 10,Outside Radius,Width 1,Width 2,Thickness 1,Radius 9,Radius 8,Radius 7,Radius 6,Radius 5,Radius 4,Radius 3,Radius 2,Radius 1,Length 9,Height 1,Height 2,Height 3,Height 4,Height 5,Height 6,Angle 2,Valve Length,Outside Diameter,Open Height,C1 Offset 1,C1 Offset 2,Width,Height,Panel Name,Projection,Depth,Standoff,HalfWidth,HalfHeight,Light Loss Factor,Dimming Lamp Color Temperature Shift,Light Source Definition (family),Ballast Voltage,Initial Intensity,Ceiling Mount Material,Color Filter,Electrical Data,Drop From Ceiling,Load Classification,Lamp,Ballast Number of Poles,Calculate Coefficient of Utilization,Initial Color,Pendant Material,Assembly Code,Assembly Description,Light Source Symbol Size,Apparent Load,Switch Voltage,Load,Moves With Nearby Elements,Label,Range Material,Burner Material,Hot Water Diameter,WFU,Flow Pressure,Sanitary Diameter,Sanitary Radius,HWFU,CWFU,Sink Width,Sink Depth,Sink Length,Hot Water Radius,Cold Water Radius,Cold Water Diameter,Shade Material,Door Width,Shower Width,Shower Length,Shower Height,Half Door Width,Half Lavatory Length,Half Oval Long Axis Length 1,Half Oval Long Axis Length,Oval Long Axis Length,Lavatory Width,Oval Short Axis Length,Lavatory Length,Lavatory Height,Half Oval Short Axis Length 1,Half Oval Short Axis Length,Max #1 Pole Breakers,HVAC Demand Factor,Total Estimated Demand Current,Heating Connected,Apparent Load Phase A,Enclosure,Apparent Load Phase B,Receptacle Demand Factor,Total Estimated Demand,Total Connected,HVAC Estimated Demand,Apparent Load Phase C,Other Estimated Demand,HVAC Connected,Total Demand Factor,Mounting,Location,Total Connected Current,24 Circuit Height,Appliance - Dwelling Unit Connected Current,Current Phase A,Current Phase B,Current Phase C,HVAC Connected Current,HVAC Estimated Demand Current,Other Connected,Other Connected Current,Other Estimated Demand Current,Appliance - Dwelling Unit Connected,Appliance - Dwelling Unit Estimated Demand,Appliance - Dwelling Unit Estimated Demand Current,Appliance - Dwelling Unit Demand Factor,Heating Estimated Demand,Heating Connected Current,Heating Estimated Demand Current,Heating Demand Factor,Lighting - Dwelling Unit Connected,Lighting - Dwelling Unit Estimated Demand,Lighting - Dwelling Unit Demand Factor,Lighting - Dwelling Unit Connected Current,Receptacle Connected Current,Lighting - Dwelling Unit Estimated Demand Current,Receptacle Connected,Receptacle Estimated Demand,Receptacle Estimated Demand Current,Mains,Circuit Naming,Distribution System,Number of Wires,Number of Phases,42 Circuit Height,30 Circuit Height,12 Circuit Height,Bath Tub Width,Bath Tub Length,Bath Tub Height,InteriorOrExteriorSpace,Design HVAC Load per area,LongName,ElevationWithFlooring,CeilingCovering,Upper Limit,CompositionType,Number,Decomposes,OmniClass Table 13 Category,Average Estimated Illumination,Condition Type,GSA BIM Area,WallCovering,Wall Reflectance,FloorCovering,Room Number,Room Name,Design Cooling Load,Unbounded Height,Limit Offset,Phase,Base Offset,Perimeter,Volume,Design Other Load per area,Specified Return Airflow,Zone,Plenum,Occupiable,HistoricPreservationZoneName,Space Type,Design Heating Load,Specified Supply Airflow,Actual Supply Airflow,Room Cavity Ratio,Return Airflow,Actual Return Airflow,Actual Exhaust Airflow,Specified Exhaust Airflow,Lighting Calculation Workplane,Ceiling Reflectance,Floor Reflectance,Category Description,Category Code,LoadCapacity,CirculationZoneName,FireAlarmZoneName,LightingZoneName,OccupancyZoneName,VentilationZoneName,RoomTag,BoundedBy,Connector,Power,BtuPerFt,Voltage,Gas Radius,Vent Radius,Electrical Box Height,Exhaust Air Flow,Boiler Radius,Electrical Box Width,Water Pressure Drop,Water Flow,Output Heat,Input Heat,Gas Flow,Exhaust Air Pressure Drop,Number of Poles,Vent Box Diameter,Vent Diameter,Vent Box Height,Gas Diameter,Electrical Box Length,Boiler Top Diameter,Boiler Height,Boiler Diameter,Vent Box Radius,Boiler Top Radius,ControlElementId,Suction Nominal Radius,Suction Outside Diameter,Discharge Nominal Radius,Suction Nominal Diameter,RPM,Suction Outside Radius,Outside Diameter 4,Outside Diameter 2,Outside Diameter 1,Discharge Nominal Diameter,Housing Width,Flange Height,Flange Diameter,Outside Radius 1,Outside Radius 2,Outside Radius 4,Flange Radius,External Static Presure,Diameter 2,Diameter 1,Half Exhaust Inlet Height,Air Flow,Half Outlet Radius,Overall Height,Fan Radius,Fan Height,Fan Diameter,Outlet Width,Outlet Height,Cap Radius,Cap Diameter,Base Width
161668,Level 1,ExpectedLife,5,583049,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,90.000000,FIXED,Unit A Sanitary,CodePerformance,310491,0.260417,Level 2,0.130208,161667,0.000000,161662,Reference,Tee - Generic,40 mm-40 mm-40 mm,"161697,161699,161701,161703,161705,161707,161709,310742,311065,311066,311067",2h405XijT83A$BX7w5ki6$,Color,33,M_Tee - Generic:Tee - Generic:Tee - Generic:583049,,InstallationDate,161668,WarrantyGuarantorLabor,0.104167,0.065617,0.131234,Features,TagNumber,0.171875,BarCode,Sanitary,Tee,0.130208,Constituents,T,,SerialNumber,WarrantyStartDate,AssetIdentifier,Level : Level 2,-0.372573,345,ReplacementCost,M_Pipe Fitting - Generic.csv,Pipework Fittings,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,ModelLabel,Manufacturer,23.60.30.11.14,0.171875,90.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163798,Level 1,ExpectedLife,5,583057,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,90.000000,FIXED,Unit B Domestic Cold Water,CodePerformance,310491,0.052083,Level 1,0.026042,163797,0.000000,163794,Reference,Elbow - Generic,15 mm-15 mm,"163826,163828,163830,163832,163834,163836,163838,310798,311068,311069,311070",3fXw$T4W993uTpDnaBqucZ,Color,33,M_Elbow - Generic:Elbow - Generic:Elbow - Generic:583057,,InstallationDate,163798,WarrantyGuarantorLabor,0.020833,0.024606,0.049213,Features,TagNumber,0.046875,BarCode,Domestic Cold Water,"Regular 45, 90 and 180 Elbow",0.026042,Constituents,T,0.046875,SerialNumber,WarrantyStartDate,AssetIdentifier,Level : Level 1,-0.460000,380,ReplacementCost,M_Pipe Fitting - Generic.csv,Pipework Fittings,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,ModelLabel,Manufacturer,23.60.30.11.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163846,Level 1,ExpectedLife,5,583058,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,90.000000,FIXED,Unit B Domestic Cold Water,CodePerformance,310491,0.093750,Level 1,0.046875,163845,0.000000,163842,Reference,Tee - Generic,25 mm-25 mm-25 mm,"163875,163877,163879,163881,163883,163885,163887,310567,311065,311066,311067",2h405XijT83A$BX7w5ki6a,Color,33,M_Tee - Generic:Tee - Generic:Tee - Generic:583058,,InstallationDate,163846,WarrantyGuarantorLabor,0.037500,0.041010,0.082021,Features,TagNumber,0.088542,BarCode,Domestic Cold Water,Tee,0.046875,Constituents,T,,SerialNumber,WarrantyStartDate,AssetIdentifier,Level : Level 1,-0.460000,381,ReplacementCost,M_Pipe Fitting - Generic.csv,Pipework Fittings,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,ModelLabel,Manufacturer,23.60.30.11.14,0.088542,90.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164676,Level 1,ExpectedLife,5,583060,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,,FIXED,Unit B Domestic Cold Water,CodePerformance,310491,,Level 1,,164675,0.000000,164672,Reference,Transition - Generic,25 mm-15 mm,"164713,164715,164717,164719,164721,164723,164725,310800,311078,311079,311080",1LAty58CH48wt3FIOhfw0T,Color,33,M_Transition - Generic:Transition - Generic:Transition - Generic:583060,,InstallationDate,164676,WarrantyGuarantorLabor,,,,Features,TagNumber,,BarCode,Domestic Cold Water,Reducer/Coupling/Union/Increaser,,Constituents,T,,SerialNumber,WarrantyStartDate,AssetIdentifier,Level : Level 1,-0.460000,384,ReplacementCost,M_Pipe Fitting - Generic.csv,Pipework Fittings,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,ModelLabel,Manufacturer,23.60.30.11.14,,,F,T,F,0.041010,0.052083,0.093750,0.026042,0.046875,0.049213,0.082021,10.000000,0.093750,10.000000,0.026042,0.046875,0.020833,0.037500,0.024606,0.041010,0.023438,0.041010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165108,Level 1,ExpectedLife,5,583063,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,90.000000,FIXED,Unit B Domestic Cold Water,CodePerformance,310491,0.052083,Level 1,0.026042,165107,0.000000,165104,Reference,Elbow - Generic,15 mm-15 mm,"165136,165138,165140,165142,165144,165146,165148,310798,311068,311069,311070",2h405XijT83A$BX7w5ki6X,Color,33,M_Elbow - Generic:Elbow - Generic:Elbow - Generic:583063,,InstallationDate,165108,WarrantyGuarantorLabor,0.020833,0.024606,0.049213,Features,TagNumber,0.046875,BarCode,Domestic Cold Water,"Regular 45, 90 and 180 Elbow",0.026042,Constituents,T,0.046875,SerialNumber,WarrantyStartDate,AssetIdentifier,Level : Level 1,0.469943,390,ReplacementCost,M_Pipe Fitting - Generic.csv,Pipework Fittings,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,ModelLabel,Manufacturer,23.60.30.11.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165156,Level 1,ExpectedLife,5,583064,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,90.000000,FIXED,Unit B Domestic Cold Water,CodePerformance,310491,0.093750,Level 1,0.046875,165155,0.000000,165152,Reference,Tee - Generic,25 mm-25 mm-25 mm,"165185,165187,165189,165191,165193,165195,165197,310567,311065,311066,311067",2h405XijT83A$BX7w5ki6k,Color,33,M_Tee - Generic:Tee - Generic:Tee - Generic:583064,,InstallationDate,165156,WarrantyGuarantorLabor,0.037500,0.041010,0.082021,Features,TagNumber,0.088542,BarCode,Domestic Cold Water,Tee,0.046875,Constituents,T,,SerialNumber,WarrantyStartDate,AssetIdentifier,Level : Level 1,-0.460000,391,ReplacementCost,M_Pipe Fitting - Generic.csv,Pipework Fittings,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,ModelLabel,Manufacturer,23.60.30.11.14,0.088542,90.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165985,Level 1,ExpectedLife,5,583066,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,,FIXED,Unit B Domestic Cold Water,CodePerformance,310491,,Level 1,,165984,0.000000,165981,Reference,Transition - Generic,25 mm-15 mm,"166022,166024,166026,166028,166030,166032,166034,310804,311078,311079,311080",1xrXmBs2P5kxDWd6hFV1sa,Color,33,M_Transition - Generic:Transition - Generic:Transition - Generic:583066,,InstallationDate,165985,WarrantyGuarantorLabor,,,,Features,TagNumber,,BarCode,Domestic Cold Water,Reducer/Coupling/Union/Increaser,,Constituents,T,,SerialNumber,WarrantyStartDate,AssetIdentifier,Level : Level 1,-0.433013,394,ReplacementCost,M_Pipe Fitting - Generic.csv,Pipework Fittings,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,ModelLabel,Manufacturer,23.60.30.11.14,,,F,T,F,0.041010,0.052083,0.093750,0.026042,0.046875,0.049213,0.082021,10.000000,0.093750,10.000000,0.026042,0.046875,0.020833,0.037500,0.024606,0.041010,0.023438,0.041010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166792,Level 1,ExpectedLife,5,583071,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,90.000000,FIXED,Unit B Domestic Cold Water,CodePerformance,310491,0.093750,Level 1,0.046875,166791,0.000000,166788,Reference,Elbow - Generic,25 mm-25 mm,"166820,166822,166824,166826,166828,166830,166832,310558,311068,311069,311070",2h405XijT83A$BX7w5ki6f,Color,33,M_Elbow - Generic:Elbow - Generic:Elbow - Generic:583071,,InstallationDate,166792,WarrantyGuarantorLabor,0.037500,0.041010,0.082021,Features,TagNumber,0.067708,BarCode,Domestic Cold Water,"Regular 45, 90 and 180 Elbow",0.046875,Constituents,T,0.067708,SerialNumber,WarrantyStartDate,AssetIdentifier,Level : Level 1,-0.460000,412,ReplacementCost,M_Pipe Fitting - Generic.csv,Pipework Fittings,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,ModelLabel,Manufacturer,23.60.30.11.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167026,Level 1,ExpectedLife,5,583073,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,90.000000,FIXED,Unit B Domestic Cold Water,CodePerformance,310491,0.093750,Level 1,0.046875,167025,0.000000,167022,Reference,Elbow - Generic,25 mm-25 mm,"167054,167056,167058,167060,167062,167064,167066,310558,311068,311069,311070",2h405XijT83A$BX7w5ki6N,Color,33,M_Elbow - Generic:Elbow - Generic:Elbow - Generic:583073,,InstallationDate,167026,WarrantyGuarantorLabor,0.037500,0.041010,0.082021,Features,TagNumber,0.067708,BarCode,Domestic Cold Water,"Regular 45, 90 and 180 Elbow",0.046875,Constituents,T,0.067708,SerialNumber,WarrantyStartDate,AssetIdentifier,Level : Level 1,-0.210000,945,ReplacementCost,M_Pipe Fitting - Generic.csv,Pipework Fittings,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,ModelLabel,Manufacturer,23.60.30.11.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167074,Level 1,ExpectedLife,5,583074,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,90.000000,FIXED,Unit B Domestic Cold Water,CodePerformance,310491,0.093750,Level 1,0.046875,167073,0.000000,167070,Reference,Tee - Generic,25 mm-25 mm-25 mm,"167103,167105,167107,167109,167111,167113,167115,310567,311065,311066,311067",2h405XijT83A$BX7w5ki6K,Color,33,M_Tee - Generic:Tee - Generic:Tee - Generic:583074,,InstallationDate,167074,WarrantyGuarantorLabor,0.037500,0.041010,0.082021,Features,TagNumber,0.088542,BarCode,Domestic Cold Water,Tee,0.046875,Constituents,T,,SerialNumber,WarrantyStartDate,AssetIdentifier,Level : Level 1,-0.210000,415,ReplacementCost,M_Pipe Fitting - Generic.csv,Pipework Fittings,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,ModelLabel,Manufacturer,23.60.30.11.14,0.088542,90.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
